"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Transition_Rates","Key"
"Ml->Lc",0,48,0.718,0.998694956,0,2.1,9,0.0647,"Ml->Lc"
"My->Lc",0,51,0.762,0.998752651,0,1.8,8.7,0.078,"My->Lc"
"Nh->Lc",0,57,0.798,0.978572725,0,1.3,5.8,0.0533,"Nh->Lc"
"Ph->Lc",0,77,0.578,1,0,2.4,9.6,0.0539,"Ph->Lc"
"Ps->Lc",0,61,0.652,0.985653242,0,1.9,10.9,0.0486,"Ps->Lc"
"Tb->Lc",0,41,0.671,0.985425933,0,0.1,5,0.0505,"Tb->Lc"
"Ap->Li",0,11,0.86,0.023175227,0,1.6,3.891836735,0.0553,"Ap->Li"
"Ef->Li",1,8,0.953,0.098096281,0,1.1,3.891836735,0.0431,"Ef->Li"
"Lb->Li",1,37.1,0.696,0.170285762,1,1,3.891836735,0.0396,"Lb->Li"
"Lbl->Li",0,34,0.618,0.001,1,1,3.891836735,0.0556,"Lbl->Li"
"Lc->Li",1,4,0.65,0.092396295,1,0.4,3.891836735,0.0648,"Lc->Li"
"Ln->Li",0,31,0.919,0.060226704,0,1.1,3.891836735,0.0488,"Ln->Li"
"Ls->Li",0,48.3,0.734,0.57066657,1,1,3.891836735,0.0563,"Ls->Li"
"Lx->Li",0,0.001,0.357,0.001,1,0.001,3.891836735,0.074,"Lx->Li"
"Ma->Li",0,49,0.926,0.535777448,0,0.85859375,3.891836735,0.0548,"Ma->Li"
"Mc->Li",0,51,0.849,0.001,0,2.1,3.891836735,0.0592,"Mc->Li"
"Ml->Li",0,44,0.868,0.054919194,0,1.7,3.891836735,0.0608,"Ml->Li"
"My->Li",0,47,0.912,0.001,0,1.4,3.891836735,0.0545,"My->Li"
"Nh->Li",0,53,0.948,0.325726768,0,0.9,3.891836735,0.0554,"Nh->Li"
"Ph->Li",0,73,0.728,0.001,0,2,3.891836735,0.0547,"Ph->Li"
"Ps->Li",0,57,0.802,0.211865586,0,1.5,3.891836735,0.0492,"Ps->Li"
"Tb->Li",0,37,0.821,0.198714592,0,0.5,3.891836735,0.0437,"Tb->Li"
"Ap->Ln",0,20,0.711,0.874554346,1,0.5,0.1,0.0644,"Ap->Ln"
"Ef->Ln",0,23,0.586,0.914530102,1,0.001,1.2,0.0477,"Ef->Ln"
"Lb->Ln",1,6.1,0.937,0.925327198,0,0.1,5.8,0.0442,"Lb->Ln"
"Lbl->Ln",0,3,0.859,0.870041009,0,0.1,5.8,0.0639,"Lbl->Ln"
"Lc->Ln",1,35,0.769,0.920323004,0,1.5,8.3,0.0729,"Lc->Ln"
"Li->Ln",0,31,0.919,0.561485345,0,1.1,3.891836735,0.0633,"Li->Ln"
"Ls->Ln",0,17.3,0.975,0.713884717,0,0.1,5.8,0.0642,"Ls->Ln"
"Lx->Ln",0,31,0.847,0.315590343,0,1.1,3.891836735,0.0647,"Lx->Ln"
"Ma->Ln",0,18,0.853,0.744461691,1,0.85859375,3.891836735,0.0637,"Ma->Ln"
"Mc->Ln",0,20,0.776,0.834106027,1,1,3.4,0.1029,"Mc->Ln"
"Ml->Ln",0,13,0.795,0.96121489,1,0.6,0.7,0.1061,"Ml->Ln"
"My->Ln",0,16,0.839,0.854626274,0,0.3,0.4,0.0653,"My->Ln"
"Nh->Ln",0,22,0.531,0.855414101,1,0.2,2.5,0.0644,"Nh->Ln"
"Ph->Ln",0,42,0.655,0.7801248,1,0.9,1.3,0.0643,"Ph->Ln"
"Ps->Ln",0,26,0.729,0.911862343,1,0.4,2.6,0.0605,"Ps->Ln"
"Tb->Ln",0,6,0.982,0.81883277,0,1.6,3.3,0.0509,"Tb->Ln"
"Ap->Ls",0,37.3,0.916,0.011274566,0,0.6,5.9,0.0814,"Ap->Ls"
"Ef->Ls",0,40.3,1.009,0.004700011,0,0.1,4.6,0.0575,"Ef->Ls"
"Lb->Ls",6,11.2,0.118,0.00815877,1,0.001,0.001,0.2145,"Lb->Ls"
"Lbl->Ls",0,14.3,0.354,0.001,1,0.001,0.001,0.0806,"Lbl->Ls"
"Lc->Ls",0,52.3,0.584,0.004734817,1,1.4,2.5,0.0614,"Lc->Ls"
"Li->Ls",0,48.3,0.734,0.848543056,1,1,3.891836735,0.0816,"Li->Ls"
"Ln->Ls",0,17.3,0.975,0.113859748,0,0.1,5.8,0.0717,"Ln->Ls"
"Lx->Ls",0,48.3,0.662,0.001,1,1,3.891836735,0.0822,"Lx->Ls"
"Ma->Ls",0,0.7,0.982,0.813172371,0,0.85859375,3.891836735,0.0803,"Ma->Ls"
"Mc->Ls",0,2.7,0.905,0.001,0,1.1,9.2,0.0899,"Mc->Ls"
"Ml->Ls",0,4.3,0.924,0.127003883,0,0.7,6.5,0.0931,"Ml->Ls"
"My->Ls",0,1.3,0.968,0.001,0,0.4,6.2,0.0825,"My->Ls"
