"","Transitions","wingLoading","wingAspectRatio","roostOverlap","rangeOverlap","hostDistances","bodySize","Transition_Rates","Key"
"Nh->Lbl",0,3.3,0.1,0,0.001,0.888,19,0.000999999999999999,"Nh->Lbl"
"Ph->Lbl",0,7.1,1,0,0.741306921,0.668,39,0.000999999999999999,"Ph->Lbl"
"Ps->Lbl",0,8.4,0.5,0,0.001,0.742,23,0.000999999999999999,"Ps->Lbl"
"Tb->Lbl",0,2.5,1.5,0,0.415860176,0.761,3,0.000999999999999999,"Tb->Lbl"
"Ap->Lc",0,8.4,2,0,0.998093531,0.71,15,0.000999999999999999,"Ap->Lc"
"Ef->Lc",1,7.1,1.5,0,0.99268662,0.803,12,0.000999999999999999,"Ef->Lc"
"Lb->Lc",0,2.5,1.4,1,0.988914569,0.546,41.1,0.000999999999999999,"Lb->Lc"
"Lbl->Lc",0,2.5,1.4,1,0.997952637,0.468,38,0.000999999999999999,"Lbl->Lc"
"Li->Lc",1,3.891836735,0.4,1,0.935013204,0.65,4,0.000999999999999999,"Li->Lc"
"Ln->Lc",0,8.3,1.5,0,0.99897389,0.769,35,0.000999999999999999,"Ln->Lc"
"Ls->Lc",0,2.5,1.4,1,0.964414163,0.584,52.3,0.000999999999999999,"Ls->Lc"
"Lx->Lc",0,3.891836735,0.4,1,1,0.578,4,0.000999999999999999,"Lx->Lc"
"Ma->Lc",0,3.891836735,0.85859375,0,0.993905825,0.776,53,0.000999999999999999,"Ma->Lc"
"Mc->Lc",1,11.7,2.5,0,0.997386504,0.699,55,0.000999999999999999,"Mc->Lc"
"Ml->Lc",0,9,2.1,0,0.998694956,0.718,48,0.000999999999999999,"Ml->Lc"
"My->Lc",1,8.7,1.8,0,0.998752651,0.762,51,0.000999999999999999,"My->Lc"
"Nh->Lc",0,5.8,1.3,0,0.978572725,0.798,57,0.000999999999999999,"Nh->Lc"
"Ph->Lc",0,9.6,2.4,0,1,0.578,77,0.000999999999999999,"Ph->Lc"
"Ps->Lc",0,10.9,1.9,0,0.985653242,0.652,61,0.000999999999999999,"Ps->Lc"
"Tb->Lc",0,5,0.1,0,0.985425933,0.671,41,0.000999999999999999,"Tb->Lc"
"Ap->Li",0,3.891836735,1.6,0,0.023175227,0.86,11,0.000999999999999999,"Ap->Li"
"Ef->Li",1,3.891836735,1.1,0,0.098096281,0.953,8,0.000999999999999999,"Ef->Li"
"Lb->Li",1,3.891836735,1,1,0.170285762,0.696,37.1,0.000999999999999999,"Lb->Li"
"Lbl->Li",0,3.891836735,1,1,0.001,0.618,34,0.000999999999999999,"Lbl->Li"
"Lc->Li",1,3.891836735,0.4,1,0.092396295,0.65,4,0.000999999999999999,"Lc->Li"
"Ln->Li",0,3.891836735,1.1,0,0.060226704,0.919,31,0.000999999999999999,"Ln->Li"
"Ls->Li",0,3.891836735,1,1,0.57066657,0.734,48.3,0.000999999999999999,"Ls->Li"
"Lx->Li",0,3.891836735,0.001,1,0.001,0.357,0.001,0.000999999999999999,"Lx->Li"
"Ma->Li",0,3.891836735,0.85859375,0,0.535777448,0.926,49,0.000999999999999999,"Ma->Li"
"Mc->Li",0,3.891836735,2.1,0,0.001,0.849,51,0.000999999999999999,"Mc->Li"
"Ml->Li",0,3.891836735,1.7,0,0.054919194,0.868,44,0.000999999999999999,"Ml->Li"
"My->Li",0,3.891836735,1.4,0,0.001,0.912,47,0.000999999999999999,"My->Li"
"Nh->Li",0,3.891836735,0.9,0,0.325726768,0.948,53,0.000999999999999999,"Nh->Li"
"Ph->Li",0,3.891836735,2,0,0.001,0.728,73,0.000999999999999999,"Ph->Li"
"Ps->Li",0,3.891836735,1.5,0,0.211865586,0.802,57,0.000999999999999999,"Ps->Li"
"Tb->Li",0,3.891836735,0.5,0,0.198714592,0.821,37,0.000999999999999999,"Tb->Li"
"Ap->Ln",0,0.1,0.5,1,0.874554346,0.711,20,0.000999999999999999,"Ap->Ln"
"Ef->Ln",0,1.2,0.001,1,0.914530102,0.586,23,0.000999999999999999,"Ef->Ln"
"Lb->Ln",1,5.8,0.1,0,0.925327198,0.937,6.1,0.000999999999999999,"Lb->Ln"
"Lbl->Ln",0,5.8,0.1,0,0.870041009,0.859,3,0.000999999999999999,"Lbl->Ln"
"Lc->Ln",1,8.3,1.5,0,0.920323004,0.769,35,0.000999999999999999,"Lc->Ln"
"Li->Ln",0,3.891836735,1.1,0,0.561485345,0.919,31,0.000999999999999999,"Li->Ln"
"Ls->Ln",0,5.8,0.1,0,0.713884717,0.975,17.3,0.000999999999999999,"Ls->Ln"
"Lx->Ln",0,3.891836735,1.1,0,0.315590343,0.847,31,0.000999999999999999,"Lx->Ln"
"Ma->Ln",0,3.891836735,0.85859375,1,0.744461691,0.853,18,0.000999999999999999,"Ma->Ln"
"Mc->Ln",0,3.4,1,1,0.834106027,0.776,20,0.000999999999999999,"Mc->Ln"
"Ml->Ln",0,0.7,0.6,1,0.96121489,0.795,13,0.000999999999999999,"Ml->Ln"
"My->Ln",0,0.4,0.3,0,0.854626274,0.839,16,0.000999999999999999,"My->Ln"
"Nh->Ln",0,2.5,0.2,1,0.855414101,0.531,22,0.000999999999999999,"Nh->Ln"
"Ph->Ln",0,1.3,0.9,1,0.7801248,0.655,42,0.000999999999999999,"Ph->Ln"
"Ps->Ln",0,2.6,0.4,1,0.911862343,0.729,26,0.000999999999999999,"Ps->Ln"
"Tb->Ln",0,3.3,1.6,0,0.81883277,0.982,6,0.000999999999999999,"Tb->Ln"
"Ap->Ls",0,5.9,0.6,0,0.011274566,0.916,37.3,0.000999999999999999,"Ap->Ls"
"Ef->Ls",0,4.6,0.1,0,0.004700011,1.009,40.3,0.000999999999999999,"Ef->Ls"
"Lb->Ls",6,0.001,0.001,1,0.00815877,0.118,11.2,0.000999999999999999,"Lb->Ls"
"Lbl->Ls",0,0.001,0.001,1,0.001,0.354,14.3,0.000999999999999999,"Lbl->Ls"
"Lc->Ls",0,2.5,1.4,1,0.004734817,0.584,52.3,0.000999999999999999,"Lc->Ls"
"Li->Ls",0,3.891836735,1,1,0.848543056,0.734,48.3,0.000999999999999999,"Li->Ls"
"Ln->Ls",0,5.8,0.1,0,0.113859748,0.975,17.3,0.000999999999999999,"Ln->Ls"
"Lx->Ls",0,3.891836735,1,1,0.001,0.662,48.3,0.000999999999999999,"Lx->Ls"
"Ma->Ls",0,3.891836735,0.85859375,0,0.813172371,0.982,0.7,0.000999999999999999,"Ma->Ls"
"Mc->Ls",0,9.2,1.1,0,0.001,0.905,2.7,0.000999999999999999,"Mc->Ls"
"Ml->Ls",0,6.5,0.7,0,0.127003883,0.924,4.3,0.000999999999999999,"Ml->Ls"
"My->Ls",0,6.2,0.4,0,0.001,0.968,1.3,0.000999999999999999,"My->Ls"
"Nh->Ls",0,3.3,0.1,0,0.461050502,1.004,4.7,0.000999999999999999,"Nh->Ls"
"Ph->Ls",0,7.1,1,0,0.001,0.784,24.7,0.000999999999999999,"Ph->Ls"
"Ps->Ls",0,8.4,0.5,0,0.010577303,0.858,8.7,0.000999999999999999,"Ps->Ls"
"Tb->Ls",0,2.5,1.5,0,0.26047984,0.877,11.3,0.000999999999999999,"Tb->Ls"
"Ap->Lx",1,3.891836735,1.6,0,0.088489185,0.788,11,0.000999999999999999,"Ap->Lx"
"Ef->Lx",0,3.891836735,1.1,0,0.031042918,0.881,8,0.000999999999999999,"Ef->Lx"
"Lb->Lx",0,3.891836735,1,1,0.001,0.624,37.1,0.000999999999999999,"Lb->Lx"
"Lbl->Lx",0,3.891836735,1,1,0.095028822,0.546,34,0.000999999999999999,"Lbl->Lx"
"Lc->Lx",1,3.891836735,0.4,1,0.031271363,0.578,4,0.000999999999999999,"Lc->Lx"
"Li->Lx",1,3.891836735,0.001,1,0.01,0.357,0.001,0.000999999999999999,"Li->Lx"
"Ln->Lx",0,3.891836735,1.1,0,0.010712341,0.847,31,0.000999999999999999,"Ln->Lx"
"Ls->Lx",0,3.891836735,1,1,0.001,0.662,48.3,0.000999999999999999,"Ls->Lx"
"Ma->Lx",0,3.891836735,0.85859375,0,0.001,0.854,49,0.000999999999999999,"Ma->Lx"
"Mc->Lx",0,3.891836735,2.1,0,0.121306002,0.777,51,0.000999999999999999,"Mc->Lx"
"Ml->Lx",0,3.891836735,1.7,0,0.002042596,0.796,44,0.000999999999999999,"Ml->Lx"
"My->Lx",0,3.891836735,1.4,0,0.106301063,0.84,47,0.000999999999999999,"My->Lx"
"Nh->Lx",0,3.891836735,0.9,0,0.001,0.876,53,0.000999999999999999,"Nh->Lx"
"Ph->Lx",0,3.891836735,2,0,0.16707227,0.656,73,0.000999999999999999,"Ph->Lx"
"Ps->Lx",0,3.891836735,1.5,0,0.001,0.73,57,0.000999999999999999,"Ps->Lx"
"Tb->Lx",0,3.891836735,0.5,0,0.066152795,0.749,37,0.000999999999999999,"Tb->Lx"
"Ap->Ma",0,3.891836735,0.85859375,1,0.001,0.794,38,0.000999999999999999,"Ap->Ma"
"Ef->Ma",1,3.891836735,0.85859375,1,0.111254299,0.887,41,0.000999999999999999,"Ef->Ma"
