"","Transitions","subsetDeff","subsetDgeo","Key"
"AU->AT",0,7.9105,15137.4859,"AU->AT"
"BD->AT",0,7.545,7157.5044,"BD->AT"
"BG->AT",0,3.2732,1080.7806,"BG->AT"
"BO->AT",0,8.0375,10683.4536,"BO->AT"
"BR->AT",0,5.9222,9315.4038,"BR->AT"
"BY->AT",0,3.2526,1204.042,"BY->AT"
"CA->AT",0,5.6645,7366.5216,"CA->AT"
"CH->AT",0,3.4349,487.0755,"CH->AT"
"CL->AT",0,7.591,12297.4,"CL->AT"
"CN->AT",0,5.3193,8020.8062,"CN->AT"
"CO->AT",0,7.1585,9334.2483,"CO->AT"
"DE->AT",0,2.17,507.188,"DE->AT"
"DK->AT",0,4.3441,1002.5377,"DK->AT"
"EC->AT",0,7.1509,10396.4603,"EC->AT"
"ES->AT",0,3.9443,1870.9686,"ES->AT"
"FI->AT",0,4.7882,1821.5385,"FI->AT"
"FJ->AT",0,7.8465,16377.5759,"FJ->AT"
"FR->AT",0,3.9408,859.4799,"FR->AT"
"GB->AT",1,3.4445,1317.9986,"GB->AT"
"GF->AT",0,5.6297,7865.7449,"GF->AT"
"GR->AT",0,4.0251,1377.6353,"GR->AT"
"HK->AT",2,7.1917,8896.5448,"HK->AT"
"ID->AT",0,6.8652,11003.5279,"ID->AT"
"IN->AT",0,4.92,6499.7934,"IN->AT"
"IS->AT",0,5.6401,2872.8382,"IS->AT"
"IT->AT",0,3.7109,569.7351,"IT->AT"
"JP->AT",1,5.1374,9085.9872,"JP->AT"
"KH->AT",0,7.0483,9004.4739,"KH->AT"
"KR->AT",1,7.0797,8663.3981,"KR->AT"
"LA->AT",0,6.7082,8430.8606,"LA->AT"
"LK->AT",0,6.6323,7611.8884,"LK->AT"
"LV->AT",0,4.6293,1239.3686,"LV->AT"
"MD->AT",0,3.8336,1117.5148,"MD->AT"
"MM->AT",0,6.6333,7769.6723,"MM->AT"
"MY->AT",0,4.8438,9952.4995,"MY->AT"
"NL->AT",0,4.2805,798.0024,"NL->AT"
"NO->AT",0,5.4551,1746.6648,"NO->AT"
"NP->AT",0,5.6573,6410.9297,"NP->AT"
"NZ->AT",1,8.4138,18239.8591,"NZ->AT"
"PE->AT",0,7.3215,10747.4787,"PE->AT"
"PH->AT",0,7.7793,10522.6567,"PH->AT"
"PT->AT",0,5.0707,2667.9292,"PT->AT"
"PY->AT",0,7.7664,10790.3754,"PY->AT"
"RO->AT",0,3.4234,811.7176,"RO->AT"
"RS->AT",0,3.4588,662.6329,"RS->AT"
"SE->AT",0,4.8548,1385.726,"SE->AT"
"SG->AT",0,6.3182,9886.3602,"SG->AT"
"TH->AT",0,5.0652,8656.2744,"TH->AT"
"TW->AT",0,6.9001,9218.0863,"TW->AT"
"UA->AT",0,3.4237,1336.5757,"UA->AT"
"US->AT",1,5.062,8237.7816,"US->AT"
"UY->AT",0,8.2056,11480.4146,"UY->AT"
"VE->AT",0,6.5365,8470.3857,"VE->AT"
"VN->AT",0,7.8647,9010.623,"VN->AT"
"AL->AU",0,9.0629,14725.179,"AL->AU"
"AR->AU",3,6.6693,12070.2132,"AR->AU"
"AT->AU",1,7.9105,15137.4859,"AT->AU"
"BD->AU",1,5.9576,7979.9915,"BD->AU"
"BG->AU",0,9.0561,14198.268,"BG->AU"
"BO->AU",0,6.4861,14113.7255,"BO->AU"
"BR->AU",0,6.0078,14988.366,"BR->AU"
"BY->AU",0,9.4517,14104.5074,"BY->AU"
"CA->AU",0,4.8611,14514.2692,"CA->AU"
"CH->AU",0,7.4607,15624.4954,"CH->AU"
"CL->AU",0,5.9326,12370.7626,"CL->AU"
"CN->AU",8,4.2433,7390.8749,"CN->AU"
"CO->AU",0,5.6071,15406.305,"CO->AU"
"DE->AU",0,6.6636,15374.9131,"DE->AU"
"DK->AU",0,7.814,15162.169,"DK->AU"
"EC->AU",0,5.6824,14438.8163,"EC->AU"
"ES->AU",0,8.0283,16849.126,"ES->AU"
"FI->AU",0,8.0626,14190.9481,"FI->AU"
"FJ->AU",0,1.8551,3690.8806,"FJ->AU"
"FR->AU",1,6.777,15994.8199,"FR->AU"
"GB->AU",0,6.0581,16056.1655,"GB->AU"
"GF->AU",0,8.4658,16972.6389,"GF->AU"
"GR->AU",0,8.2046,14228.3696,"GR->AU"
"HK->AU",5,3.1412,6407.9869,"HK->AU"
"ID->AU",0,3.3562,4142.0196,"ID->AU"
"IN->AU",0,5.1873,8707.5556,"IN->AU"
"IS->AU",0,5.9683,15886.6066,"IS->AU"
"IT->AU",0,7.4001,15356.1283,"IT->AU"
"JP->AU",4,3.2973,7138.5183,"JP->AU"
"KH->AU",1,5.3192,6133.8476,"KH->AU"
"KR->AU",2,4.3827,7260.1002,"KR->AU"
"LA->AU",0,4.9791,6716.5197,"LA->AU"
"LK->AU",1,5.3632,7819.8612,"LK->AU"
"LV->AU",0,8.864,14331.7926,"LV->AU"
"MD->AU",0,10.249,14024.2965,"MD->AU"
"MM->AU",0,4.9042,7368.0982,"MM->AU"
"MY->AU",2,3.0666,5187.6315,"MY->AU"
"NL->AU",0,6.6311,15658.8414,"NL->AU"
"NO->AU",0,8.729,14837.0348,"NO->AU"
"NP->AU",0,6.1203,8726.7421,"NP->AU"
"NZ->AU",6,1.3501,3125.5573,"NZ->AU"
"PE->AU",0,5.7701,14156.4612,"PE->AU"
"PH->AU",0,4.8163,4786.6815,"PH->AU"
"PT->AU",0,8.0944,17781.5965,"PT->AU"
"PY->AU",0,7.852,13706.404,"PY->AU"
"RO->AU",0,9.667,14371.7611,"RO->AU"
"RS->AU",0,9.1532,14653.4363,"RS->AU"
"SE->AU",0,8.1254,14681.257,"SE->AU"
"SG->AU",0,2.1994,5293.6127,"SG->AU"
"TH->AU",0,3.3362,6482.1362,"TH->AU"
"TW->AU",0,4.9371,6249.8473,"TW->AU"
"UA->AU",0,8.5639,13801.2726,"UA->AU"
"US->AU",9,3.5106,14522.9041,"US->AU"
"UY->AU",0,8.0548,12764.0196,"UY->AU"
"VE->AU",0,5.7772,16365.7236,"VE->AU"
"VN->AU",2,4.5338,6149.2036,"VN->AU"
"AL->BD",0,8.2265,6806.2797,"AL->BD"
"AR->BD",0,9.6163,17287.2572,"AR->BD"
"AT->BD",2,7.545,7157.5044,"AT->BD"
"AU->BD",2,5.9576,7979.9915,"AU->BD"
"BG->BD",0,7.8005,6256.5065,"BG->BD"
"BO->BD",0,10.0187,17539.1723,"BO->BD"
"BR->BD",0,8.8765,15581.7036,"BR->BD"
"BY->BD",0,8.7392,6172.7166,"BY->BD"
"CA->BD",0,7.8074,11889.8523,"CA->BD"
"CH->BD",0,7.1651,7644.504,"CH->BD"
"CL->BD",1,10.1127,18041.0928,"CL->BD"
"CN->BD",0,5.2583,2205.8247,"CN->BD"
"CO->BD",0,9.1397,16231.3745,"CO->BD"
"DE->BD",0,6.5916,7417.498,"DE->BD"
"DK->BD",0,7.5184,7298.7897,"DK->BD"
"EC->BD",0,9.215,17374.1317,"EC->BD"
"ES->BD",0,6.466,8931.8311,"ES->BD"
"FI->BD",0,7.9591,6514.1126,"FI->BD"
"FJ->BD",0,7.8127,10411.6945,"FJ->BD"
"FR->BD",0,6.766,8015.3665,"FR->BD"
"GB->BD",0,4.4957,8174.2177,"GB->BD"
"GF->BD",0,8.4549,14970.4272,"GF->BD"
"GR->BD",0,7.6238,6387.7604,"GR->BD"
"HK->BD",0,4.171,2311.2914,"HK->BD"
"ID->BD",0,5.5181,3858.2231,"ID->BD"
"IN->BD",1,3.0314,1263.1078,"IN->BD"
"IS->BD",0,6.9265,8743.1947,"IS->BD"
"IT->BD",0,6.5638,7409.6629,"IT->BD"
"JP->BD",2,6.1882,4456.0317,"JP->BD"
"KH->BD",0,5.2365,1849.3685,"KH->BD"
"KR->BD",0,6.5186,3746.4901,"KR->BD"
"LA->BD",0,4.8965,1324.8438,"LA->BD"
"LK->BD",0,5.2108,2204.2895,"LK->BD"
"LV->BD",0,7.3016,6461.8706,"LV->BD"
"MD->BD",0,9.5037,6045.8425,"MD->BD"
"MM->BD",0,4.5341,614.4569,"MM->BD"
"MY->BD",0,3.4967,2801.7737,"MY->BD"
"NL->BD",0,6.9112,7719.5213,"NL->BD"
"NO->BD",0,7.1666,7207.3336,"NO->BD"
"NP->BD",0,3.5434,749.5858,"NP->BD"
"NZ->BD",0,7.2786,11096.2451,"NZ->BD"
"PE->BD",0,9.3027,17904.6766,"PE->BD"
"PH->BD",0,6.6416,3647.137,"PH->BD"
"PT->BD",0,6.9421,9815.3047,"PT->BD"
"PY->BD",0,10.7208,16871.0269,"PY->BD"
"RO->BD",0,8.4209,6401.6607,"RO->BD"
"RS->BD",0,8.4352,6699.8577,"RS->BD"
"SE->BD",0,7.2859,6907.3527,"SE->BD"
"SG->BD",0,3.7582,2828.6678,"SG->BD"
"TH->BD",0,3.2535,1504.2055,"TH->BD"
"TW->BD",0,5.9865,2963.1066,"TW->BD"
"UA->BD",0,7.8646,5821.3412,"UA->BD"
"US->BD",2,7.0432,13114.5623,"US->BD"
"UY->BD",0,10.9649,16588.8282,"UY->BD"
"VE->BD",0,9.3098,15551.2928,"VE->BD"
"VN->BD",0,6.053,1930.8062,"VN->BD"
"AL->BG",0,5.1458,561.1407,"AL->BG"
"AR->BG",0,7.3511,12906.9067,"AR->BG"
"AT->BG",0,3.2732,1080.7806,"AT->BG"
"AU->BG",1,9.0561,14198.268,"AU->BG"
"BD->BG",0,7.8005,6256.5065,"BD->BG"
"BO->BG",0,8.4818,11464.4217,"BO->BG"
"BR->BG",0,6.1447,9912.607,"BR->BG"
"BY->BG",0,5.1806,1235.9093,"BY->BG"
"CA->BG",0,6.4779,8362.2868,"CA->BG"
"CH->BG",0,4.9771,1518.781,"CH->BG"
"CL->BG",0,7.8475,12959.2322,"CL->BG"
"CN->BG",0,6.618,7372.9317,"CN->BG"
"CO->BG",0,7.5977,10354.7859,"CO->BG"
"DE->BG",0,2.3925,1546.8851,"DE->BG"
"DK->BG",0,5.3707,1871.7623,"DK->BG"
"EC->BG",0,7.4073,11388.9359,"EC->BG"
"ES->BG",0,4.2007,2675.9463,"ES->BG"
"FI->BG",0,5.2478,2227.1534,"FI->BG"
"FJ->BG",0,8.33,16129.6604,"FJ->BG"
"FR->BG",0,4.0449,1847.4597,"FR->BG"
"GB->BG",0,3.3048,2391.3298,"GB->BG"
"GF->BG",0,5.7337,8718.3861,"GF->BG"
"GR->BG",0,3.8864,536.4302,"GR->BG"
"HK->BG",0,7.4632,8163.5296,"HK->BG"
"ID->BG",0,8.7553,10058.2126,"ID->BG"
"IN->BG",0,6.1021,5499.7497,"IN->BG"
"IS->BG",0,5.7355,3853.8951,"IS->BG"
"IT->BG",0,3.483,1158.4919,"IT->BG"
"JP->BG",0,7.0724,8731.4922,"JP->BG"
"KH->BG",0,8.6307,8103.5344,"KH->BG"
"KR->BG",0,7.3354,8221.9011,"KR->BG"
"LA->BG",0,8.2906,7561.5967,"LA->BG"
"LK->BG",0,6.8548,6552.1653,"LK->BG"
"LV->BG",0,5.2353,1574.7535,"LV->BG"
"MD->BG",0,5.9779,502.702,"MD->BG"
"MM->BG",0,8.2157,6870.8495,"MM->BG"
"MY->BG",0,7.5561,9020.389,"MY->BG"
"NL->BG",0,4.7712,1864.4327,"NL->BG"
"NO->BG",0,5.6776,2466.016,"NO->BG"
"NP->BG",0,8.1035,5507.1032,"NP->BG"
"NZ->BG",0,8.8973,17320.3011,"NZ->BG"
"PE->BG",0,7.805,11662.344,"PE->BG"
"PH->BG",0,9.5028,9758.0328,"PH->BG"
"PT->BG",0,5.2932,3583.3287,"PT->BG"
"PY->BG",0,7.9889,11409.408,"PY->BG"
"RO->BG",0,4.8991,326.7495,"RO->BG"
"RS->BG",0,5.3547,460.5883,"RS->BG"
"SE->BG",0,5.341,2007.1192,"SE->BG"
"SG->BG",0,6.9323,8909.0953,"SG->BG"
"TH->BG",0,6.6477,7735.1535,"TH->BG"
"TW->BG",0,8.7823,8564.2503,"TW->BG"
"UA->BG",0,5.5845,733.4318,"UA->BG"
"US->BG",0,5.5455,9281.6646,"US->BG"
"UY->BG",0,8.4281,11966.2937,"UY->BG"
"VE->BG",0,6.759,9457.0273,"VE->BG"
"VN->BG",0,8.1004,8156.8602,"VN->BG"
"AL->BO",0,8.2838,10903.8738,"AL->BO"
"AR->BO",0,2.7559,2353.8549,"AR->BO"
"AT->BO",0,8.0375,10683.4536,"AT->BO"
"AU->BO",0,6.4861,14113.7255,"AU->BO"
"BD->BO",0,10.0187,17539.1723,"BD->BO"
"BG->BO",0,8.4818,11464.4217,"BG->BO"
"BR->BO",1,2.3371,2032.3659,"BR->BO"
"BY->BO",0,8.8774,11794.863,"BY->BO"
"CA->BO",0,4.326,7964.6886,"CA->BO"
"CH->BO",0,6.9256,10207.2807,"CH->BO"
"CL->BO",0,3.094,1801.1782,"CL->BO"
