"","Transitions","subsetDeff","subsetDgeo","Key"
"UY->BY",0,8.8237,12682.2575,"UY->BY"
"VE->BY",0,7.1546,9388.05,"VE->BY"
"VN->BY",0,7.3266,7956.1676,"VN->BY"
"AL->CA",0,6.9027,8169.9177,"AL->CA"
"AR->CA",0,4.5092,10190.5176,"AR->CA"
"AT->CA",0,5.6645,7366.5216,"AT->CA"
"AU->CA",0,4.8611,14514.2692,"AU->CA"
"BD->CA",1,7.8074,11889.8523,"BD->CA"
"BG->CA",0,6.4779,8362.2868,"BG->CA"
"BO->CA",0,4.326,7964.6886,"BO->CA"
"BR->CA",0,3.8477,8753.1779,"BR->CA"
"BY->CA",0,6.8735,7434.8656,"BY->CA"
"CH->CA",0,5.3006,7090.4756,"CH->CA"
"CL->CA",0,4.535,9429.0964,"CL->CA"
"CN->CA",1,4.6317,10624.4639,"CN->CA"
"CO->CA",0,3.447,4985.7462,"CO->CA"
"DE->CA",0,4.0854,6860.8794,"DE->CA"
"DK->CA",0,5.6539,6493.2878,"DK->CA"
"EC->CA",0,3.5223,5893.2407,"EC->CA"
"ES->CA",0,5.2819,7010.4214,"ES->CA"
"FI->CA",0,6.4585,6528.8952,"FI->CA"
"FJ->CA",0,4.1349,11226.0882,"FJ->CA"
"FR->CA",0,3.9134,6948.164,"FR->CA"
"GB->CA",0,3.3116,6095.8115,"GB->CA"
"GF->CA",0,5.6023,6427.5351,"GF->CA"
"GR->CA",0,5.6799,8743.0611,"GR->CA"
"HK->CA",0,4.3492,11530.9814,"HK->CA"
"ID->CA",0,7.3135,14179.7686,"ID->CA"
"IN->CA",0,5.7748,12248.5005,"IN->CA"
"IS->CA",0,3.8081,4508.8201,"IS->CA"
"IT->CA",0,5.24,7663.3944,"IT->CA"
"JP->CA",1,3.8089,9265.6042,"JP->CA"
"KH->CA",0,8.4776,12875.121,"KH->CA"
"KR->CA",0,4.677,9627.5851,"KR->CA"
"LA->CA",0,8.0999,12327.1511,"LA->CA"
"LK->CA",0,7.3786,13747.3792,"LK->CA"
"LV->CA",0,6.1175,7011.6377,"LV->CA"
"MD->CA",0,7.6708,8105.5726,"MD->CA"
"MM->CA",0,8.3115,12215.5689,"MM->CA"
"MY->CA",0,7.563,13615.2448,"MY->CA"
"NL->CA",0,4.4328,6579.7106,"NL->CA"
"NO->CA",0,5.9825,6010.4209,"NO->CA"
"NP->CA",0,7.7762,11474.72,"NP->CA"
"NZ->CA",0,4.7023,13355.795,"NZ->CA"
"PE->CA",0,3.61,6888.9627,"PE->CA"
"PH->CA",0,5.3078,12381.7938,"PH->CA"
"PT->CA",0,5.758,6310.3231,"PT->CA"
"PY->CA",0,5.6919,9120.9968,"PY->CA"
"RO->CA",0,7.0888,8038.0536,"RO->CA"
"RS->CA",0,6.993,8018.5888,"RS->CA"
"SE->CA",0,5.9652,6478.5001,"SE->CA"
"SG->CA",0,7.0605,14076.6371,"SG->CA"
"TH->CA",0,6.7435,12878.1441,"TH->CA"
"TW->CA",0,4.7383,11121.5801,"TW->CA"
"UA->CA",0,6.1678,8131.8982,"UA->CA"
"US->CA",1,1.3505,1229.1707,"US->CA"
"UY->CA",0,5.8947,10176.6004,"UY->CA"
"VE->CA",0,3.6171,5156.069,"VE->CA"
"VN->CA",0,7.0708,12479.8623,"VN->CA"
"AL->CH",0,5.1697,1125.0433,"AL->CH"
"AR->CH",0,6.3044,11936.859,"AR->CH"
"AT->CH",0,3.4349,487.0755,"AT->CH"
"AU->CH",0,7.4607,15624.4954,"AU->CH"
"BD->CH",0,7.1651,7644.504,"BD->CH"
"BG->CH",0,4.9771,1518.781,"BG->CH"
"BO->CH",0,6.9256,10207.2807,"BO->CH"
"BR->CH",0,5.4419,8877.0603,"BR->CH"
"BY->CH",0,5.3727,1628.8489,"BY->CH"
"CA->CH",0,5.3006,7090.4756,"CA->CH"
"CL->CH",0,6.8008,11837.8131,"CL->CH"
"CN->CH",0,6.8101,8477.0724,"CN->CH"
"CO->CH",0,6.0466,8857.4757,"CO->CH"
"DE->CH",0,2.5846,489.8557,"DE->CH"
"DK->CH",0,3.9523,1058.7768,"DK->CH"
"EC->CH",0,6.1219,9914.0504,"EC->CH"
"ES->CH",0,3.1541,1424.8122,"ES->CH"
"FI->CH",0,4.6098,2064.5185,"FI->CH"
"FJ->CH",0,6.7346,16651.3659,"FJ->CH"
"FR->CH",1,3.0249,376.0677,"FR->CH"
"GB->CH",0,2.6693,995.2452,"GB->CH"
"GF->CH",0,4.7138,7383.2695,"GF->CH"
"GR->CH",0,4.077,1718.6924,"GR->CH"
"HK->CH",0,6.0045,9366.1731,"HK->CH"
"ID->CH",0,7.2124,11490.3586,"ID->CH"
"IN->CH",0,5.2543,6979.7466,"IN->CH"
"IS->CH",0,5.1001,2658.2026,"IS->CH"
"IT->CH",0,3.507,577.9695,"IT->CH"
"JP->CH",0,5.8822,9465.2164,"JP->CH"
"KH->CH",0,7.0468,9491.2788,"KH->CH"
"KR->CH",0,6.7304,9069.3565,"KR->CH"
"LA->CH",0,6.7067,8916.4375,"LA->CH"
"LK->CH",0,5.3058,8069.918,"LK->CH"
"LV->CH",0,5.4274,1572.5927,"LV->CH"
"MD->CH",0,6.17,1603.5139,"MD->CH"
"MM->CH",0,6.6318,8256.575,"MM->CH"
"MY->CH",0,6.1914,10439.5291,"MY->CH"
"NL->CH",0,3.7302,571.8248,"NL->CH"
"NO->CH",0,5.3402,1820.7139,"NO->CH"
"NP->CH",0,7.2557,6897.9971,"NP->CH"
"NZ->CH",0,7.3019,18719.5297,"NZ->CH"
"PE->CH",0,6.2096,10260.4383,"PE->CH"
"PH->CH",0,7.9075,10995.0283,"PH->CH"
"PT->CH",0,3.7186,2184.4853,"PT->CH"
"PY->CH",0,7.2861,10343.0116,"PY->CH"
"RO->CH",0,4.9853,1280.8834,"RO->CH"
"RS->CH",0,3.1008,1067.1132,"RS->CH"
"SE->CH",0,4.608,1563.4151,"SE->CH"
"SG->CH",0,5.3894,10370.8393,"SG->CH"
"TH->CH",0,5.0638,9143.3473,"TH->CH"
"TW->CH",0,7.3379,9672.7395,"TW->CH"
"UA->CH",0,5.1708,1823.3448,"UA->CH"
"US->CH",3,3.9501,7904.6031,"US->CH"
"UY->CH",0,7.653,11062.2839,"UY->CH"
"VE->CH",0,6.2167,7986.5833,"VE->CH"
"VN->CH",0,7.5208,9494.9158,"VN->CH"
"AL->CL",0,7.7831,12402.0819,"AL->CL"
"AR->CL",4,1.6683,816.7659,"AR->CL"
"AT->CL",1,7.591,12297.4,"AT->CL"
"AU->CL",1,5.9326,12370.7626,"AU->CL"
"BD->CL",1,10.1127,18041.0928,"BD->CL"
"BG->CL",0,7.8475,12959.2322,"BG->CL"
"BO->CL",0,3.094,1801.1782,"BO->CL"
"BR->CL",2,2.672,3056.2796,"BR->CL"
"BY->CL",0,8.4948,13457.5955,"BY->CL"
"CA->CL",0,4.535,9429.0964,"CA->CL"
"CH->CL",0,6.8008,11837.8131,"CH->CL"
"CN->CL",1,7.3563,19700.7875,"CN->CL"
"CO->CL",0,4.5238,4528.3281,"CO->CL"
"DE->CL",0,5.7066,12190.3378,"DE->CL"
"DK->CL",0,7.4303,12486.2858,"DK->CL"
"EC->CL",0,4.1228,3536.5279,"EC->CL"
"ES->CL",0,3.6467,10426.6628,"ES->CL"
"FI->CL",0,7.6965,13479.7447,"FI->CL"
"FJ->CL",0,5.969,10828.1042,"FJ->CL"
"FR->CL",0,6.2394,11465.7783,"FR->CL"
"GB->CL",0,5.617,11598.593,"GB->CL"
"GF->CL",0,6.2825,4615.1252,"GF->CL"
"GR->CL",0,7.8731,12671.4181,"GR->CL"
"HK->CL",0,7.179,18767.121,"HK->CL"
"ID->CL",0,9.1475,15991.2601,"ID->CL"
"IN->CL",0,8.7637,16831.3847,"IN->CL"
"IS->CL",0,5.6422,11556.8545,"IS->CL"
"IT->CL",0,6.1204,11898.6982,"IT->CL"
"JP->CL",0,5.6429,17526.2634,"JP->CL"
"KH->CL",0,10.3117,17732.2869,"KH->CL"
"KR->CL",0,6.5111,18240.4683,"KR->CL"
"LA->CL",0,10.2037,18273.9846,"LA->CL"
"LK->CL",0,9.6839,15904.0359,"LK->CL"
"LV->CL",0,8.4228,13296.1944,"LV->CL"
"MD->CL",0,9.2159,13309.5781,"MD->CL"
"MM->CL",0,10.1456,18139.0494,"MM->CL"
"MY->CL",0,8.9993,16877.8461,"MY->CL"
"NL->CL",0,6.305,11944.9269,"NL->CL"
"NO->CL",0,7.3552,12826.7689,"NO->CL"
"NP->CL",0,10.7651,17703.591,"NP->CL"
"NZ->CL",0,4.5825,9473.712,"NZ->CL"
"PE->CL",0,2.5805,2559.8416,"PE->CL"
"PH->CL",0,7.1419,17156.8661,"PH->CL"
"PT->CL",0,5.6871,9693.9298,"PT->CL"
"PY->CL",0,3.3205,1561.3134,"PY->CL"
"RO->CL",0,7.7459,12917.2402,"RO->CL"
"RS->CL",0,8.6688,12579.0766,"RS->CL"
"SE->CL",0,7.5127,12985.2209,"SE->CL"
"SG->CL",0,8.1029,16505.3918,"SG->CL"
"TH->CL",0,8.5776,17715.4897,"TH->CL"
"TW->CL",0,6.5723,18517.1736,"TW->CL"
"UA->CL",0,8.2378,13568.0604,"UA->CL"
"US->CL",3,3.1845,8264.7967,"US->CL"
"UY->CL",0,3.0538,1470.6222,"UY->CL"
"VE->CL",0,5.4512,4778.1619,"VE->CL"
"VN->CL",0,8.9048,18087.8934,"VN->CL"
"AL->CN",0,7.3049,7929.1824,"AL->CN"
"AR->CN",1,7.3304,19226.1274,"AR->CN"
"AT->CN",0,5.3193,8020.8062,"AT->CN"
"AU->CN",4,4.2433,7390.8749,"AU->CN"
"BD->CN",1,5.2583,2205.8247,"BD->CN"
"BG->CN",0,6.618,7372.9317,"BG->CN"
"BO->CN",0,7.1472,18410.9061,"BO->CN"
"BR->CN",1,6.6689,17280.5106,"BR->CN"
"BY->CN",0,6.1536,6853.8925,"BY->CN"
"CA->CN",1,4.6317,10624.4639,"CA->CN"
"CH->CN",0,6.8101,8477.0724,"CH->CN"
"CL->CN",0,7.3563,19700.7875,"CL->CN"
"CO->CN",0,6.2682,15570.4337,"CO->CN"
"DE->CN",0,4.2255,8117.1701,"DE->CN"
"DK->CN",0,5.0868,7808.6641,"DK->CN"
"EC->CN",0,6.3435,16510.5873,"EC->CN"
"ES->CN",0,6.2854,9891.7657,"ES->CN"
"FI->CN",0,4.3162,6802.4591,"FI->CN"
"FJ->CN",0,6.0984,8873.615,"FJ->CN"
"FR->CN",0,4.4565,8847.9009,"FR->CN"
"GB->CN",1,5.227,8693.0354,"GB->CN"
"GF->CN",0,6.1454,15651.2933,"GF->CN"
"GR->CN",0,6.392,7665.4826,"GR->CN"
"HK->CN",14,1.8724,1042.5784,"HK->CN"
"ID->CN",0,4.4512,3874.9176,"ID->CN"
"IN->CN",1,5.4491,3441.478,"IN->CN"
"IS->CN",0,6.6294,8679.1695,"IS->CN"
"IT->CN",0,5.6422,8426.6649,"IT->CN"
"JP->CN",5,2.1391,2250.2689,"JP->CN"
"KH->CN",0,3.935,2256.0108,"KH->CN"
"KR->CN",1,2.0209,1542.5836,"KR->CN"
"LA->CN",0,3.4682,1776.8067,"LA->CN"
"LK->CN",0,6.1153,4287.5099,"LK->CN"
"LV->CN",0,7.0683,7005.1558,"LV->CN"
"MD->CN",0,6.6685,7017.3619,"MD->CN"
"MM->CN",0,4.3932,2030.2066,"MM->CN"
"MY->CN",1,3.3282,3042.5048,"MY->CN"
"NL->CN",0,4.9038,8357.255,"NL->CN"
"NO->CN",0,7.2042,7447.2651,"NO->CN"
"NP->CN",3,4.6461,2599.4974,"NP->CN"
"NZ->CN",0,5.5934,10256.5456,"NZ->CN"
"PE->CN",0,6.4312,17513.391,"PE->CN"
"PH->CN",0,3.9928,2606.3482,"PH->CN"
"PT->CN",0,7.1262,10611.423,"PT->CN"
"PY->CN",0,8.5131,18777.094,"PY->CN"
"RO->CN",0,7.2289,7410.32,"RO->CN"
"RS->CN",0,7.1877,7749.4803,"RS->CN"
"SE->CN",0,6.2733,7303.1475,"SE->CN"
"SG->CN",1,2.9515,3456.2374,"SG->CN"
"TH->CN",0,3.1441,2331.9076,"TH->CN"
"TW->CN",1,3.5591,1198.0145,"TW->CN"
"UA->CN",0,5.9913,6758.0377,"UA->CN"
"US->CN",3,4.1717,11767.1552,"US->CN"
"UY->CN",0,8.7159,18793.621,"UY->CN"
"VE->CN",0,6.4383,15392.2462,"VE->CN"
"VN->CN",1,3.6989,1858.29,"VN->CN"
"AL->CO",0,7.6487,9858.2893,"AL->CO"
"AR->CO",0,4.4274,5242.2667,"AR->CO"
"AT->CO",0,7.1585,9334.2483,"AT->CO"
"AU->CO",2,5.6071,15406.305,"AU->CO"
"BD->CO",0,9.1397,16231.3745,"BD->CO"
"BG->CO",0,7.5977,10354.7859,"BG->CO"
"BO->CO",0,4.6941,2979.5771,"BO->CO"
"BR->CO",0,4.2524,4142.5392,"BR->CO"
"BY->CO",0,8.0376,10171.2071,"BY->CO"
"CA->CO",0,3.447,4985.7462,"CA->CO"
"CH->CO",0,6.0466,8857.4757,"CH->CO"
"CL->CO",0,4.5238,4528.3281,"CL->CO"
"CN->CO",0,6.2682,15570.4337,"CN->CO"
"DE->CO",0,5.2495,8991.6321,"DE->CO"
"DK->CO",0,6.3999,9020.452,"DK->CO"
"EC->CO",0,2.2686,1142.9594,"EC->CO"
"ES->CO",0,3.3969,7767.9493,"ES->CO"
"FI->CO",0,7.2045,9732.0271,"FI->CO"
"FJ->CO",0,4.8809,12082.0145,"FJ->CO"
"FR->CO",0,4.6021,8510.4113,"FR->CO"
"GB->CO",0,4.644,8179.3961,"GB->CO"
"GF->CO",0,6.291,2572.0327,"GF->CO"
"GR->CO",0,6.9792,10384.5456,"GR->CO"
"HK->CO",1,6.091,16514.1657,"HK->CO"
"ID->CO",0,8.0595,18879.5156,"ID->CO"
"IN->CO",0,7.6756,15830.065,"IN->CO"
"IS->CO",0,4.5541,7488.2326,"IS->CO"
"IT->CO",0,5.986,9214.4031,"IT->CO"
"JP->CO",0,4.5549,14164.9705,"JP->CO"
"KH->CO",0,9.2236,17756.9508,"KH->CO"
"KR->CO",0,5.423,14595.1162,"KR->CO"
"LA->CO",0,9.1157,17136.9941,"LA->CO"
"LK->CO",0,8.7109,16812.0696,"LK->CO"
"LV->CO",0,7.4498,9842.2598,"LV->CO"
"MD->CO",0,8.8348,10443.0445,"MD->CO"
"MM->CO",0,9.0575,16761.6936,"MM->CO"
"MY->CO",0,8.5606,18599.5581,"MY->CO"
"NL->CO",0,5.217,8671.6971,"NL->CO"
"NO->CO",0,7.1054,9040.3052,"NO->CO"
"NP->CO",0,9.677,15557.8229,"NP->CO"
"NZ->CO",0,5.4483,12350.4756,"NZ->CO"
"PE->CO",0,3.3188,1975.5178,"PE->CO"
"PH->CO",0,6.0538,17158.6723,"PH->CO"
"PT->CO",0,6.1103,6812.8501,"PT->CO"
"PY->CO",0,6.0967,4161.6685,"PY->CO"
"RO->CO",0,7.4961,10138.3153,"RO->CO"
"RS->CO",0,7.739,9894.1991,"RS->CO"
"SE->CO",0,6.7112,9366.4174,"SE->CO"
"SG->CO",0,7.8065,18991.5341,"SG->CO"
"TH->CO",0,7.4895,17621.6862,"TH->CO"
"TW->CO",0,5.4843,16090.7058,"TW->CO"
"UA->CO",0,7.1497,10630.7933,"UA->CO"
"US->CO",2,2.0965,3927.1906,"US->CO"
"UY->CO",0,5.8129,5196.2944,"UY->CO"
"VE->CO",0,2.3943,1032.6952,"VE->CO"
"VN->CO",0,7.8167,17422.8314,"VN->CO"
"AL->DE",0,4.0696,1315.9223,"AL->DE"
"AR->DE",0,5.2103,12331.59,"AR->DE"
"AT->DE",0,2.17,507.188,"AT->DE"
"AU->DE",1,6.6636,15374.9131,"AU->DE"
"BD->DE",0,6.5916,7417.498,"BD->DE"
"BG->DE",0,2.3925,1546.8851,"BG->DE"
"BO->DE",0,6.0893,10518.4584,"BO->DE"
"BR->DE",0,3.7522,9271.3612,"BR->DE"
"BY->DE",0,2.7881,1276.4362,"BY->DE"
"CA->DE",0,4.0854,6860.8794,"CA->DE"
"CH->DE",0,2.5846,489.8557,"CH->DE"
"CL->DE",0,5.7066,12190.3378,"CL->DE"
"CN->DE",0,4.2255,8117.1701,"CN->DE"
"CO->DE",0,5.2495,8991.6321,"CO->DE"
"DK->DE",0,2.9782,576.6118,"DK->DE"
"EC->DE",0,5.2665,10077.3944,"EC->DE"
"ES->DE",0,2.0599,1845.8371,"ES->DE"
"FI->DE",0,2.8553,1581.4582,"FI->DE"
"FJ->DE",0,5.9374,16162.4543,"FJ->DE"
"FR->DE",0,2.8778,779.9046,"FR->DE"
"GB->DE",1,2.7611,854.1712,"GB->DE"
"GF->DE",0,4.5667,7672.2313,"GF->DE"
"GR->DE",0,2.1665,1882.2254,"GR->DE"
"HK->DE",0,5.1242,9035.1444,"HK->DE"
"ID->DE",0,6.3628,11275.5235,"ID->DE"
"IN->DE",0,3.7096,6839.0941,"IN->DE"
"IS->DE",0,3.47,2365.6893,"IS->DE"
"IT->DE",0,2.4069,954.8748,"IT->DE"
"JP->DE",0,4.6798,9017.627,"JP->DE"
"KH->DE",0,6.2382,9252.9,"KH->DE"
"KR->DE",0,4.9429,8642.7951,"KR->DE"
"LA->DE",0,5.8981,8660.4261,"LA->DE"
"LK->DE",0,4.4623,8009.6198,"LK->DE"
"LV->DE",0,2.8428,1135.4131,"LV->DE"
"MD->DE",0,3.5854,1470.6442,"MD->DE"
"MM->DE",0,5.8232,8024.0833,"MM->DE"
"MY->DE",0,5.7576,10219.2712,"MY->DE"
"NL->DE",0,3.3552,327.9395,"NL->DE"
"NO->DE",0,3.2851,1343.421,"NO->DE"
"NP->DE",0,5.711,6678.2942,"NP->DE"
"NZ->DE",0,6.5048,18366.9912,"NZ->DE"
"PE->DE",0,5.4125,10490.2926,"PE->DE"
"PH->DE",0,7.1103,10668.462,"PH->DE"
"PT->DE",0,2.9007,2497.2643,"PT->DE"
"PY->DE",0,5.5964,10721.1521,"PY->DE"
"RO->DE",0,3.0034,1245.7543,"RO->DE"
"RS->DE",0,2.9622,1160.1605,"RS->DE"
"SE->DE",0,2.9484,1074.1998,"SE->DE"
"SG->DE",0,4.5398,10190.7536,"SG->DE"
"TH->DE",0,4.2552,8921.5698,"TH->DE"
"TW->DE",0,6.3898,9307.2482,"TW->DE"
"UA->DE",0,3.2551,1639.9843,"UA->DE"
"US->DE",0,3.153,7743.2905,"US->DE"
"UY->DE",0,6.0356,11476.8943,"UY->DE"
"VE->DE",0,4.3665,8164.7621,"VE->DE"
"VN->DE",0,5.7079,9225.7901,"VN->DE"
"AL->DK",0,5.5951,1780.2914,"AL->DK"
"AR->DK",1,6.934,12691.3677,"AR->DK"
"AT->DK",0,4.3441,1002.5377,"AT->DK"
"AU->DK",0,7.814,15162.169,"AU->DK"
"BD->DK",0,7.5184,7298.7897,"BD->DK"
"BG->DK",0,5.3707,1871.7623,"BG->DK"
"BO->DK",0,7.2789,10764.9862,"BO->DK"
"BR->DK",1,6.7303,9643.3478,"BR->DK"
"BY->DK",0,5.7663,1154.5262,"BY->DK"
"CA->DK",0,5.6539,6493.2878,"CA->DK"
"CH->DK",0,3.9523,1058.7768,"CH->DK"
"CL->DK",0,7.4303,12486.2858,"CL->DK"
"CN->DK",1,5.0868,7808.6641,"CN->DK"
"CO->DK",0,6.3999,9020.452,"CO->DK"
"DE->DK",1,2.9782,576.6118,"DE->DK"
"EC->DK",0,6.4752,10134.0561,"EC->DK"
"ES->DK",0,3.7836,2313.9543,"ES->DK"
"FI->DK",0,3.0324,1084.1228,"FI->DK"
"FJ->DK",0,7.0878,15608.6233,"FJ->DK"
"FR->DK",0,3.6217,1290.8385,"FR->DK"
"GB->DK",0,3.0226,894.2933,"GB->DK"
"GF->DK",0,5.3106,7906.2246,"GF->DK"
"GR->DK",0,4.8671,2296.5045,"GR->DK"
"HK->DK",0,6.9593,8763.5035,"HK->DK"
"ID->DK",0,7.9737,11144.5985,"ID->DK"
"IN->DK",0,6.3938,6835.5852,"IN->DK"
"IS->DK",0,2.5129,1989.1328,"IS->DK"
"IT->DK",0,3.9324,1518.6035,"IT->DK"
"JP->DK",0,5.6637,8564.406,"JP->DK"
"KH->DK",0,6.6805,9105.6608,"KH->DK"
"KR->DK",0,7.1077,8227.271,"KR->DK"
"LA->DK",0,6.3405,8494.0187,"LA->DK"
"LK->DK",0,7.0896,8092.3948,"LK->DK"
"LV->DK",0,3.4387,839.6051,"LV->DK"
"MD->DK",0,6.5635,1641.2273,"MD->DK"
"MM->DK",0,6.2655,7893.3755,"MM->DK"
"MY->DK",0,7.274,10088.8454,"MY->DK"
"NL->DK",0,3.7066,610.6753,"NL->DK"
"NO->DK",0,2.1173,767.082,"NO->DK"
"NP->DK",0,7.4817,6575.6676,"NP->DK"
"NZ->DK",0,7.6552,17960.0268,"NZ->DK"
"PE->DK",0,6.5629,10628.3457,"PE->DK"
"PH->DK",0,8.2287,10394.1106,"PH->DK"
"PT->DK",0,5.0222,2828.817,"PT->DK"
"PY->DK",0,8.5746,11062.7383,"PY->DK"
"RO->DK",0,5.9815,1546.0306,"RO->DK"
"RS->DK",0,4.8632,1574.2937,"RS->DK"
"SE->DK",0,2.5854,550.9409,"SE->DK"
"SG->DK",0,6.1508,10111.4149,"SG->DK"
"TH->DK",0,4.6975,8798.2439,"TH->DK"
"TW->DK",0,7.6912,8984.426,"TW->DK"
"UA->DK",0,6.2333,1730.3883,"UA->DK"
"US->DK",4,4.3034,7442.7656,"US->DK"
"UY->DK",0,8.2825,11872.2692,"UY->DK"
"VE->DK",0,6.57,8254.0942,"VE->DK"
"VN->DK",0,7.497,9038.1017,"VN->DK"
"AL->EC",0,7.5703,10873.149,"AL->EC"
"AR->EC",0,5.3305,4302.1513,"AR->EC"
"AT->EC",0,7.1509,10396.4603,"AT->EC"
"AU->EC",1,5.6824,14438.8163,"AU->EC"
"BD->EC",0,9.215,17374.1317,"BD->EC"
"BG->EC",0,7.4073,11388.9359,"BG->EC"
"BO->EC",0,5.1473,2249.4041,"BO->EC"
"BR->EC",0,4.669,3892.3795,"BR->EC"
"BY->EC",0,8.0546,11279.8646,"BY->EC"
"CA->EC",0,3.5223,5893.2407,"CA->EC"
"CH->EC",0,6.1219,9914.0504,"CH->EC"
"CL->EC",0,4.1228,3536.5279,"CL->EC"
"CN->EC",0,6.3435,16510.5873,"CN->EC"
"CO->EC",1,2.2686,1142.9594,"CO->EC"
"DE->EC",0,5.2665,10077.3944,"DE->EC"
"DK->EC",0,6.4752,10134.0561,"DK->EC"
"ES->EC",0,3.2066,8753.5055,"ES->EC"
"FI->EC",0,7.2564,10869.2541,"FI->EC"
"FJ->EC",0,4.9563,11372.4557,"FJ->EC"
"FR->EC",0,5.4381,9557.6126,"FR->EC"
"GB->EC",0,4.7193,9280.2259,"GB->EC"
"GF->EC",0,7.127,3059.3491,"GF->EC"
"GR->EC",0,7.0545,11373.63,"GR->EC"
"HK->EC",0,6.1663,17335.3735,"HK->EC"
"ID->EC",0,8.1348,18482.4217,"ID->EC"
"IN->EC",0,7.7509,16888.6756,"IN->EC"
"IS->EC",0,4.6294,8630.9412,"IS->EC"
"IT->EC",0,5.9076,10236.0452,"IT->EC"
"JP->EC",0,4.6302,14797.3215,"JP->EC"
"KH->EC",0,9.2989,18766.4218,"KH->EC"
"KR->EC",0,5.4983,15329.8396,"KR->EC"
"LA->EC",0,9.191,18204.107,"LA->EC"
"LK->EC",0,8.7862,17614.1934,"LK->EC"
"LV->EC",0,7.5251,10961.8474,"LV->EC"
"MD->EC",0,8.8519,11511.9748,"MD->EC"
"MM->EC",0,9.1328,17899.6052,"MM->EC"
"MY->EC",0,8.6359,19159.7751,"MY->EC"
"NL->EC",0,5.2923,9761.9275,"NL->EC"
"NO->EC",0,6.9151,10176.795,"NO->EC"
"NP->EC",0,9.7524,16693.1615,"NP->EC"
"NZ->EC",0,5.5236,11331.0997,"NZ->EC"
"PE->EC",0,2.6449,1019.1623,"PE->EC"
"PH->EC",0,6.1291,17415.5299,"PH->EC"
"PT->EC",0,5.92,7814.0234,"PT->EC"
"PY->EC",0,6.5132,3491.5208,"PY->EC"
"RO->EC",0,7.3057,11191.0808,"RO->EC"
"RS->EC",0,7.8144,10929.7906,"RS->EC"
"SE->EC",0,6.7865,10494.6587,"SE->EC"
"SG->EC",0,7.8818,19674.9155,"SG->EC"
"TH->EC",0,7.5648,18729.8728,"TH->EC"
"TW->EC",0,5.5596,16778.7243,"TW->EC"
"UA->EC",0,7.225,11710.8362,"UA->EC"
"US->EC",0,2.1718,4743.8907,"US->EC"
"UY->EC",0,6.716,4424.0394,"UY->EC"
"VE->EC",0,3.7228,1932.0019,"VE->EC"
"VN->EC",0,7.8921,18345.3099,"VN->EC"
"AL->ES",0,4.3637,2133.3555,"AL->ES"
"AR->ES",1,3.1504,10512.1018,"AR->ES"
"AT->ES",0,3.9443,1870.9686,"AT->ES"
"AU->ES",0,8.0283,16849.126,"AU->ES"
"BD->ES",0,6.466,8931.8311,"BD->ES"
"BG->ES",0,4.2007,2675.9463,"BG->ES"
"BO->ES",0,4.6928,8832.2598,"BO->ES"
"BR->ES",1,3.7002,7452.6044,"BR->ES"
"BY->ES",0,4.848,3052.9891,"BY->ES"
"CA->ES",0,5.2819,7010.4214,"CA->ES"
"CH->ES",0,3.1541,1424.8122,"CH->ES"
"CL->ES",0,3.6467,10426.6628,"CL->ES"
"CN->ES",0,6.2854,9891.7657,"CN->ES"
"CO->ES",0,3.3969,7767.9493,"CO->ES"
"DE->ES",0,2.0599,1845.8371,"DE->ES"
"DK->ES",0,3.7836,2313.9543,"DK->ES"
"EC->ES",0,3.2066,8753.5055,"EC->ES"
"FI->ES",0,4.0498,3394.1754,"FI->ES"
"FJ->ES",0,7.3022,17751.0652,"FJ->ES"
"FR->ES",0,2.87,1069.7368,"FR->ES"
"GB->ES",0,1.9702,1667.0978,"GB->ES"
"GF->ES",0,4.5588,6047.8557,"GF->ES"
"GR->ES",0,4.2264,2621.377,"GR->ES"
"HK->ES",0,6.1286,10760.3824,"HK->ES"
"ID->ES",0,7.7103,12723.5966,"ID->ES"
"IN->ES",0,5.3414,8143.9694,"IN->ES"
"IS->ES",0,4.401,3113.659,"IS->ES"
"IT->ES",0,2.701,1523.3968,"IT->ES"
"JP->ES",1,6.491,10861.5961,"JP->ES"
"KH->ES",0,8.27,10779.4093,"KH->ES"
"KR->ES",1,7.0028,10486.2444,"KR->ES"
"LA->ES",0,7.9299,10232.5448,"LA->ES"
"LK->ES",0,6.0372,9065.3141,"LK->ES"
"LV->ES",0,4.7761,2978.3283,"LV->ES"
"MD->ES",0,5.6453,2920.6183,"MD->ES"
"MM->ES",0,7.855,9546.2578,"MM->ES"
"MY->ES",0,6.2216,11692.3953,"MY->ES"
"NL->ES",0,3.2926,1703.3063,"NL->ES"
"NO->ES",0,3.7085,2980.6585,"NO->ES"
"NP->ES",0,7.3428,8182.2942,"NP->ES"
"NZ->ES",0,7.8695,19634.7026,"NZ->ES"
"PE->ES",0,3.629,8986.8373,"PE->ES"
"PH->ES",0,8.4751,12381.0402,"PH->ES"
"PT->ES",0,2.7134,962.6167,"PT->ES"
"PY->ES",0,5.2847,8921.707,"PY->ES"
"RO->ES",0,4.0991,2544.005,"RO->ES"
"RS->ES",0,5.0221,2233.3566,"RS->ES"
"SE->ES",0,3.866,2863.8652,"SE->ES"
"SG->ES",0,5.8874,11557.7048,"SG->ES"
"TH->ES",0,6.287,10410.3347,"TH->ES"
"TW->ES",0,7.9055,11088.9626,"TW->ES"
"UA->ES",0,5.2488,3167.651,"UA->ES"
