"","Transitions","subsetDgeo","subsetDeff","Transition_Rates","Ori_Pop_Size","Dest_Pop_Size","Key"
"DK->AR",0,12691.3677,6.934,0.0342196885666238,5580000,40117000,"DK->AR"
"EC->AR",0,4302.1513,5.3305,0.0342196885666238,14483000,40117000,"EC->AR"
"ES->AR",0,10512.1018,3.1504,0.0342196885666238,46185000,40117000,"ES->AR"
"FI->AR",0,13735.448,7.2002,0.0342196885666238,5408000,40117000,"FI->AR"
"FJ->AR",0,10975.6397,5.9431,0.0342196885666238,861000,40117000,"FJ->AR"
"FR->AR",0,11575.2664,4.9439,0.0342196885666238,65350000,40117000,"FR->AR"
"GB->AR",2,11825.4634,5.1206,0.0342196885666238,62262000,40117000,"GB->AR"
"GF->AR",0,4987.0772,5.6167,0.0342196885666238,224000,40117000,"GF->AR"
"GR->AR",0,12558.5227,7.3767,0.0342196885666238,10787000,40117000,"GR->AR"
"HK->AR",2,18235.7316,7.1532,0.0342196885666238,7103000,40117000,"HK->AR"
"ID->AR",0,15390.6762,9.1217,0.0342196885666238,237641000,40117000,"ID->AR"
"IN->AR",0,16137.552,8.4917,0.0342196885666238,1210570000,40117000,"IN->AR"
"IS->AR",0,11987.8958,5.6163,0.0342196885666238,320000,40117000,"IS->AR"
"IT->AR",0,11920.6439,4.4521,0.0342196885666238,59464000,40117000,"IT->AR"
"JP->AR",1,18119.4271,5.6171,0.0342196885666238,127300000,40117000,"JP->AR"
"KH->AR",0,16972.8784,10.2858,0.0342196885666238,13396000,40117000,"KH->AR"
"KR->AR",0,18802.5923,6.4852,0.0342196885666238,48580000,40117000,"KR->AR"
"LA->AR",0,17476.336,10.1779,0.0342196885666238,6256000,40117000,"LA->AR"
"LK->AR",0,15112.5695,9.1875,0.0342196885666238,20653000,40117000,"LK->AR"
"LV->AR",0,13462.4924,7.9264,0.0342196885666238,2070000,40117000,"LV->AR"
"MD->AR",0,13305.6873,7.5476,0.0342196885666238,3560000,40117000,"MD->AR"
"MM->AR",0,17328.3243,10.1197,0.0342196885666238,47963000,40117000,"MM->AR"
"MY->AR",0,16190.1971,8.5199,0.0342196885666238,30017000,40117000,"MY->AR"
"NL->AR",0,12117.2436,6.2792,0.0342196885666238,16838000,40117000,"NL->AR"
"NO->AR",0,13120.9711,6.8588,0.0342196885666238,5009000,40117000,"NO->AR"
"NP->AR",0,17071.284,10.4932,0.0342196885666238,26621000,40117000,"NP->AR"
"NZ->AR",0,9342.6244,5.3237,0.0342196885666238,4434000,40117000,"NZ->AR"
"PE->AR",1,3301.7553,3.0444,0.0342196885666238,30135000,40117000,"PE->AR"
"PH->AR",0,16799.5715,7.116,0.0342196885666238,92340000,40117000,"PH->AR"
"PT->AR",0,9864.0623,5.0214,0.0342196885666238,10487000,40117000,"PT->AR"
"PY->AR",0,1638.8784,2.1343,0.0342196885666238,6382000,40117000,"PY->AR"
"RO->AR",0,12911.4413,6.7711,0.0342196885666238,19043000,40117000,"RO->AR"
"RS->AR",0,12567.0546,8.1724,0.0342196885666238,7120000,40117000,"RS->AR"
"SE->AR",0,13217.5209,7.0163,0.0342196885666238,9490000,40117000,"SE->AR"
"SG->AR",0,15769.9609,8.8441,0.0342196885666238,5184000,40117000,"SG->AR"
"TH->AR",0,16917.6461,8.5517,0.0342196885666238,65500000,40117000,"TH->AR"
"TW->AR",0,18311.8447,6.5465,0.0342196885666238,23293593,40117000,"TW->AR"
"UA->AR",0,13569.0019,8.2119,0.0342196885666238,45426000,40117000,"UA->AR"
"US->AR",8,9044.1375,3.1587,0.0342196885666238,3.17e+08,40117000,"US->AR"
"UY->AR",0,971.7584,1.3855,0.0342196885666238,3251000,40117000,"UY->AR"
"VE->AR",0,5384.826,5.4253,0.0342196885666238,27150000,40117000,"VE->AR"
"VN->AR",0,17368.0021,8.879,0.0342196885666238,87840000,40117000,"VN->AR"
"AL->AT",0,809.0447,3.3192,0.0342196885666238,2832000,8451860,"AL->AT"
"AR->AT",0,12370.6098,7.0946,0.0342196885666238,40117000,8451860,"AR->AT"
"AU->AT",0,15137.4859,7.9105,0.0342196885666238,22902000,8451860,"AU->AT"
"BD->AT",1,7157.5044,7.545,0.0342196885666238,142319000,8451860,"BD->AT"
"BG->AT",0,1080.7806,3.2732,0.0342196885666238,7284000,8451860,"BG->AT"
"BO->AT",0,10683.4536,8.0375,0.0342196885666238,10624000,8451860,"BO->AT"
"BR->AT",0,9315.4038,5.9222,0.0342196885666238,192400000,8451860,"BR->AT"
"BY->AT",0,1204.042,3.2526,0.0342196885666238,9460000,8451860,"BY->AT"
"CA->AT",0,7366.5216,5.6645,0.0342196885666238,3.5e+07,8451860,"CA->AT"
"CH->AT",0,487.0755,3.4349,0.0342196885666238,7952000,8451860,"CH->AT"
"CL->AT",0,12297.4,7.591,0.0342196885666238,17402000,8451860,"CL->AT"
"CN->AT",0,8020.8062,5.3193,0.0342196885666238,1347350000,8451860,"CN->AT"
"CO->AT",0,9334.2483,7.1585,0.0342196885666238,47015000,8451860,"CO->AT"
"DE->AT",0,507.188,2.17,0.0342196885666238,80500000,8451860,"DE->AT"
"DK->AT",0,1002.5377,4.3441,0.0342196885666238,5580000,8451860,"DK->AT"
"EC->AT",0,10396.4603,7.1509,0.0342196885666238,14483000,8451860,"EC->AT"
"ES->AT",0,1870.9686,3.9443,0.0342196885666238,46185000,8451860,"ES->AT"
"FI->AT",0,1821.5385,4.7882,0.0342196885666238,5408000,8451860,"FI->AT"
"FJ->AT",0,16377.5759,7.8465,0.0342196885666238,861000,8451860,"FJ->AT"
"FR->AT",0,859.4799,3.9408,0.0342196885666238,65350000,8451860,"FR->AT"
"GB->AT",1,1317.9986,3.4445,0.0342196885666238,62262000,8451860,"GB->AT"
"GF->AT",0,7865.7449,5.6297,0.0342196885666238,224000,8451860,"GF->AT"
"GR->AT",0,1377.6353,4.0251,0.0342196885666238,10787000,8451860,"GR->AT"
"HK->AT",2,8896.5448,7.1917,0.0342196885666238,7103000,8451860,"HK->AT"
"ID->AT",0,11003.5279,6.8652,0.0342196885666238,237641000,8451860,"ID->AT"
"IN->AT",0,6499.7934,4.92,0.0342196885666238,1210570000,8451860,"IN->AT"
"IS->AT",0,2872.8382,5.6401,0.0342196885666238,320000,8451860,"IS->AT"
"IT->AT",0,569.7351,3.7109,0.0342196885666238,59464000,8451860,"IT->AT"
"JP->AT",2,9085.9872,5.1374,0.0342196885666238,127300000,8451860,"JP->AT"
"KH->AT",0,9004.4739,7.0483,0.0342196885666238,13396000,8451860,"KH->AT"
"KR->AT",0,8663.3981,7.0797,0.0342196885666238,48580000,8451860,"KR->AT"
"LA->AT",0,8430.8606,6.7082,0.0342196885666238,6256000,8451860,"LA->AT"
"LK->AT",0,7611.8884,6.6323,0.0342196885666238,20653000,8451860,"LK->AT"
"LV->AT",0,1239.3686,4.6293,0.0342196885666238,2070000,8451860,"LV->AT"
"MD->AT",0,1117.5148,3.8336,0.0342196885666238,3560000,8451860,"MD->AT"
"MM->AT",0,7769.6723,6.6333,0.0342196885666238,47963000,8451860,"MM->AT"
"MY->AT",1,9952.4995,4.8438,0.0342196885666238,30017000,8451860,"MY->AT"
"NL->AT",0,798.0024,4.2805,0.0342196885666238,16838000,8451860,"NL->AT"
"NO->AT",0,1746.6648,5.4551,0.0342196885666238,5009000,8451860,"NO->AT"
"NP->AT",0,6410.9297,5.6573,0.0342196885666238,26621000,8451860,"NP->AT"
"NZ->AT",0,18239.8591,8.4138,0.0342196885666238,4434000,8451860,"NZ->AT"
"PE->AT",0,10747.4787,7.3215,0.0342196885666238,30135000,8451860,"PE->AT"
"PH->AT",0,10522.6567,7.7793,0.0342196885666238,92340000,8451860,"PH->AT"
"PT->AT",0,2667.9292,5.0707,0.0342196885666238,10487000,8451860,"PT->AT"
