"","Transitions","subsetDgeo","subsetDeff","Transition_Rates","Ori_Pop_Size","Dest_Pop_Size","Key"
"AU->DK",2,15162.169,7.814,0.0342196885666238,22902000,5580000,"AU->DK"
"BD->DK",0,7298.7897,7.5184,0.0342196885666238,142319000,5580000,"BD->DK"
"BG->DK",0,1871.7623,5.3707,0.0342196885666238,7284000,5580000,"BG->DK"
"BO->DK",0,10764.9862,7.2789,0.0342196885666238,10624000,5580000,"BO->DK"
"BR->DK",0,9643.3478,6.7303,0.0342196885666238,192400000,5580000,"BR->DK"
"BY->DK",0,1154.5262,5.7663,0.0342196885666238,9460000,5580000,"BY->DK"
"CA->DK",0,6493.2878,5.6539,0.0342196885666238,3.5e+07,5580000,"CA->DK"
"CH->DK",0,1058.7768,3.9523,0.0342196885666238,7952000,5580000,"CH->DK"
"CL->DK",0,12486.2858,7.4303,0.0342196885666238,17402000,5580000,"CL->DK"
"CN->DK",1,7808.6641,5.0868,0.0342196885666238,1347350000,5580000,"CN->DK"
"CO->DK",0,9020.452,6.3999,0.0342196885666238,47015000,5580000,"CO->DK"
"DE->DK",0,576.6118,2.9782,0.0342196885666238,80500000,5580000,"DE->DK"
"EC->DK",0,10134.0561,6.4752,0.0342196885666238,14483000,5580000,"EC->DK"
"ES->DK",0,2313.9543,3.7836,0.0342196885666238,46185000,5580000,"ES->DK"
"FI->DK",0,1084.1228,3.0324,0.0342196885666238,5408000,5580000,"FI->DK"
"FJ->DK",0,15608.6233,7.0878,0.0342196885666238,861000,5580000,"FJ->DK"
"FR->DK",0,1290.8385,3.6217,0.0342196885666238,65350000,5580000,"FR->DK"
"GB->DK",0,894.2933,3.0226,0.0342196885666238,62262000,5580000,"GB->DK"
"GF->DK",0,7906.2246,5.3106,0.0342196885666238,224000,5580000,"GF->DK"
"GR->DK",0,2296.5045,4.8671,0.0342196885666238,10787000,5580000,"GR->DK"
"HK->DK",0,8763.5035,6.9593,0.0342196885666238,7103000,5580000,"HK->DK"
"ID->DK",0,11144.5985,7.9737,0.0342196885666238,237641000,5580000,"ID->DK"
"IN->DK",0,6835.5852,6.3938,0.0342196885666238,1210570000,5580000,"IN->DK"
"IS->DK",0,1989.1328,2.5129,0.0342196885666238,320000,5580000,"IS->DK"
"IT->DK",0,1518.6035,3.9324,0.0342196885666238,59464000,5580000,"IT->DK"
"JP->DK",0,8564.406,5.6637,0.0342196885666238,127300000,5580000,"JP->DK"
"KH->DK",0,9105.6608,6.6805,0.0342196885666238,13396000,5580000,"KH->DK"
"KR->DK",0,8227.271,7.1077,0.0342196885666238,48580000,5580000,"KR->DK"
"LA->DK",0,8494.0187,6.3405,0.0342196885666238,6256000,5580000,"LA->DK"
"LK->DK",0,8092.3948,7.0896,0.0342196885666238,20653000,5580000,"LK->DK"
"LV->DK",0,839.6051,3.4387,0.0342196885666238,2070000,5580000,"LV->DK"
"MD->DK",0,1641.2273,6.5635,0.0342196885666238,3560000,5580000,"MD->DK"
"MM->DK",0,7893.3755,6.2655,0.0342196885666238,47963000,5580000,"MM->DK"
"MY->DK",0,10088.8454,7.274,0.0342196885666238,30017000,5580000,"MY->DK"
"NL->DK",0,610.6753,3.7066,0.0342196885666238,16838000,5580000,"NL->DK"
"NO->DK",0,767.082,2.1173,0.0342196885666238,5009000,5580000,"NO->DK"
"NP->DK",0,6575.6676,7.4817,0.0342196885666238,26621000,5580000,"NP->DK"
"NZ->DK",0,17960.0268,7.6552,0.0342196885666238,4434000,5580000,"NZ->DK"
"PE->DK",0,10628.3457,6.5629,0.0342196885666238,30135000,5580000,"PE->DK"
"PH->DK",0,10394.1106,8.2287,0.0342196885666238,92340000,5580000,"PH->DK"
"PT->DK",0,2828.817,5.0222,0.0342196885666238,10487000,5580000,"PT->DK"
"PY->DK",0,11062.7383,8.5746,0.0342196885666238,6382000,5580000,"PY->DK"
"RO->DK",0,1546.0306,5.9815,0.0342196885666238,19043000,5580000,"RO->DK"
"RS->DK",0,1574.2937,4.8632,0.0342196885666238,7120000,5580000,"RS->DK"
"SE->DK",0,550.9409,2.5854,0.0342196885666238,9490000,5580000,"SE->DK"
"SG->DK",0,10111.4149,6.1508,0.0342196885666238,5184000,5580000,"SG->DK"
"TH->DK",0,8798.2439,4.6975,0.0342196885666238,65500000,5580000,"TH->DK"
"TW->DK",0,8984.426,7.6912,0.0342196885666238,23293593,5580000,"TW->DK"
"UA->DK",0,1730.3883,6.2333,0.0342196885666238,45426000,5580000,"UA->DK"
"US->DK",4,7442.7656,4.3034,0.0342196885666238,3.17e+08,5580000,"US->DK"
"UY->DK",0,11872.2692,8.2825,0.0342196885666238,3251000,5580000,"UY->DK"
"VE->DK",0,8254.0942,6.57,0.0342196885666238,27150000,5580000,"VE->DK"
"VN->DK",0,9038.1017,7.497,0.0342196885666238,87840000,5580000,"VN->DK"
"AL->EC",0,10873.149,7.5703,0.0342196885666238,2832000,14483000,"AL->EC"
"AR->EC",0,4302.1513,5.3305,0.0342196885666238,40117000,14483000,"AR->EC"
"AT->EC",0,10396.4603,7.1509,0.0342196885666238,8451860,14483000,"AT->EC"
"AU->EC",0,14438.8163,5.6824,0.0342196885666238,22902000,14483000,"AU->EC"
"BD->EC",0,17374.1317,9.215,0.0342196885666238,142319000,14483000,"BD->EC"
"BG->EC",0,11388.9359,7.4073,0.0342196885666238,7284000,14483000,"BG->EC"
"BO->EC",0,2249.4041,5.1473,0.0342196885666238,10624000,14483000,"BO->EC"
"BR->EC",0,3892.3795,4.669,0.0342196885666238,192400000,14483000,"BR->EC"
"BY->EC",0,11279.8646,8.0546,0.0342196885666238,9460000,14483000,"BY->EC"
"CA->EC",0,5893.2407,3.5223,0.0342196885666238,3.5e+07,14483000,"CA->EC"
"CH->EC",0,9914.0504,6.1219,0.0342196885666238,7952000,14483000,"CH->EC"
"CL->EC",0,3536.5279,4.1228,0.0342196885666238,17402000,14483000,"CL->EC"
"CN->EC",0,16510.5873,6.3435,0.0342196885666238,1347350000,14483000,"CN->EC"
"CO->EC",0,1142.9594,2.2686,0.0342196885666238,47015000,14483000,"CO->EC"
"DE->EC",0,10077.3944,5.2665,0.0342196885666238,80500000,14483000,"DE->EC"
"DK->EC",0,10134.0561,6.4752,0.0342196885666238,5580000,14483000,"DK->EC"
"ES->EC",0,8753.5055,3.2066,0.0342196885666238,46185000,14483000,"ES->EC"
"FI->EC",0,10869.2541,7.2564,0.0342196885666238,5408000,14483000,"FI->EC"
"FJ->EC",0,11372.4557,4.9563,0.0342196885666238,861000,14483000,"FJ->EC"
"FR->EC",0,9557.6126,5.4381,0.0342196885666238,65350000,14483000,"FR->EC"
"GB->EC",0,9280.2259,4.7193,0.0342196885666238,62262000,14483000,"GB->EC"
"GF->EC",0,3059.3491,7.127,0.0342196885666238,224000,14483000,"GF->EC"
"GR->EC",0,11373.63,7.0545,0.0342196885666238,10787000,14483000,"GR->EC"
"HK->EC",0,17335.3735,6.1663,0.0342196885666238,7103000,14483000,"HK->EC"
"ID->EC",0,18482.4217,8.1348,0.0342196885666238,237641000,14483000,"ID->EC"
"IN->EC",0,16888.6756,7.7509,0.0342196885666238,1210570000,14483000,"IN->EC"
"IS->EC",0,8630.9412,4.6294,0.0342196885666238,320000,14483000,"IS->EC"
"IT->EC",0,10236.0452,5.9076,0.0342196885666238,59464000,14483000,"IT->EC"
"JP->EC",0,14797.3215,4.6302,0.0342196885666238,127300000,14483000,"JP->EC"
"KH->EC",0,18766.4218,9.2989,0.0342196885666238,13396000,14483000,"KH->EC"
"KR->EC",0,15329.8396,5.4983,0.0342196885666238,48580000,14483000,"KR->EC"
"LA->EC",0,18204.107,9.191,0.0342196885666238,6256000,14483000,"LA->EC"
"LK->EC",0,17614.1934,8.7862,0.0342196885666238,20653000,14483000,"LK->EC"
"LV->EC",0,10961.8474,7.5251,0.0342196885666238,2070000,14483000,"LV->EC"
"MD->EC",0,11511.9748,8.8519,0.0342196885666238,3560000,14483000,"MD->EC"
"MM->EC",0,17899.6052,9.1328,0.0342196885666238,47963000,14483000,"MM->EC"
"MY->EC",0,19159.7751,8.6359,0.0342196885666238,30017000,14483000,"MY->EC"
"NL->EC",1,9761.9275,5.2923,0.0342196885666238,16838000,14483000,"NL->EC"
"NO->EC",0,10176.795,6.9151,0.0342196885666238,5009000,14483000,"NO->EC"
"NP->EC",0,16693.1615,9.7524,0.0342196885666238,26621000,14483000,"NP->EC"
"NZ->EC",0,11331.0997,5.5236,0.0342196885666238,4434000,14483000,"NZ->EC"
"PE->EC",0,1019.1623,2.6449,0.0342196885666238,30135000,14483000,"PE->EC"
"PH->EC",0,17415.5299,6.1291,0.0342196885666238,92340000,14483000,"PH->EC"
"PT->EC",0,7814.0234,5.92,0.0342196885666238,10487000,14483000,"PT->EC"
"PY->EC",0,3491.5208,6.5132,0.0342196885666238,6382000,14483000,"PY->EC"
"RO->EC",0,11191.0808,7.3057,0.0342196885666238,19043000,14483000,"RO->EC"
"RS->EC",0,10929.7906,7.8144,0.0342196885666238,7120000,14483000,"RS->EC"
"SE->EC",0,10494.6587,6.7865,0.0342196885666238,9490000,14483000,"SE->EC"
"SG->EC",0,19674.9155,7.8818,0.0342196885666238,5184000,14483000,"SG->EC"
"TH->EC",0,18729.8728,7.5648,0.0342196885666238,65500000,14483000,"TH->EC"
"TW->EC",0,16778.7243,5.5596,0.0342196885666238,23293593,14483000,"TW->EC"
"UA->EC",0,11710.8362,7.225,0.0342196885666238,45426000,14483000,"UA->EC"
"US->EC",1,4743.8907,2.1718,0.0342196885666238,3.17e+08,14483000,"US->EC"
"UY->EC",0,4424.0394,6.716,0.0342196885666238,3251000,14483000,"UY->EC"
"VE->EC",0,1932.0019,3.7228,0.0342196885666238,27150000,14483000,"VE->EC"
"VN->EC",0,18345.3099,7.8921,0.0342196885666238,87840000,14483000,"VN->EC"
"AL->ES",0,2133.3555,4.3637,0.0342196885666238,2832000,46185000,"AL->ES"
"AR->ES",0,10512.1018,3.1504,0.0342196885666238,40117000,46185000,"AR->ES"
"AT->ES",0,1870.9686,3.9443,0.0342196885666238,8451860,46185000,"AT->ES"
"AU->ES",0,16849.126,8.0283,0.0342196885666238,22902000,46185000,"AU->ES"
"BD->ES",1,8931.8311,6.466,0.0342196885666238,142319000,46185000,"BD->ES"
"BG->ES",0,2675.9463,4.2007,0.0342196885666238,7284000,46185000,"BG->ES"
"BO->ES",0,8832.2598,4.6928,0.0342196885666238,10624000,46185000,"BO->ES"
"BR->ES",0,7452.6044,3.7002,0.0342196885666238,192400000,46185000,"BR->ES"
"BY->ES",0,3052.9891,4.848,0.0342196885666238,9460000,46185000,"BY->ES"
"CA->ES",0,7010.4214,5.2819,0.0342196885666238,3.5e+07,46185000,"CA->ES"
"CH->ES",0,1424.8122,3.1541,0.0342196885666238,7952000,46185000,"CH->ES"
"CL->ES",0,10426.6628,3.6467,0.0342196885666238,17402000,46185000,"CL->ES"
"CN->ES",0,9891.7657,6.2854,0.0342196885666238,1347350000,46185000,"CN->ES"
"CO->ES",0,7767.9493,3.3969,0.0342196885666238,47015000,46185000,"CO->ES"
"DE->ES",0,1845.8371,2.0599,0.0342196885666238,80500000,46185000,"DE->ES"
"DK->ES",0,2313.9543,3.7836,0.0342196885666238,5580000,46185000,"DK->ES"
"EC->ES",0,8753.5055,3.2066,0.0342196885666238,14483000,46185000,"EC->ES"
"FI->ES",0,3394.1754,4.0498,0.0342196885666238,5408000,46185000,"FI->ES"
"FJ->ES",0,17751.0652,7.3022,0.0342196885666238,861000,46185000,"FJ->ES"
"FR->ES",0,1069.7368,2.87,0.0342196885666238,65350000,46185000,"FR->ES"
"GB->ES",0,1667.0978,1.9702,0.0342196885666238,62262000,46185000,"GB->ES"
"GF->ES",0,6047.8557,4.5588,0.0342196885666238,224000,46185000,"GF->ES"
"GR->ES",0,2621.377,4.2264,0.0342196885666238,10787000,46185000,"GR->ES"
"HK->ES",0,10760.3824,6.1286,0.0342196885666238,7103000,46185000,"HK->ES"
"ID->ES",0,12723.5966,7.7103,0.0342196885666238,237641000,46185000,"ID->ES"
"IN->ES",0,8143.9694,5.3414,0.0342196885666238,1210570000,46185000,"IN->ES"
"IS->ES",0,3113.659,4.401,0.0342196885666238,320000,46185000,"IS->ES"
"IT->ES",0,1523.3968,2.701,0.0342196885666238,59464000,46185000,"IT->ES"
"JP->ES",0,10861.5961,6.491,0.0342196885666238,127300000,46185000,"JP->ES"
"KH->ES",0,10779.4093,8.27,0.0342196885666238,13396000,46185000,"KH->ES"
"KR->ES",1,10486.2444,7.0028,0.0342196885666238,48580000,46185000,"KR->ES"
"LA->ES",0,10232.5448,7.9299,0.0342196885666238,6256000,46185000,"LA->ES"
"LK->ES",0,9065.3141,6.0372,0.0342196885666238,20653000,46185000,"LK->ES"
"LV->ES",0,2978.3283,4.7761,0.0342196885666238,2070000,46185000,"LV->ES"
"MD->ES",0,2920.6183,5.6453,0.0342196885666238,3560000,46185000,"MD->ES"
"MM->ES",0,9546.2578,7.855,0.0342196885666238,47963000,46185000,"MM->ES"
"MY->ES",0,11692.3953,6.2216,0.0342196885666238,30017000,46185000,"MY->ES"
"NL->ES",0,1703.3063,3.2926,0.0342196885666238,16838000,46185000,"NL->ES"
"NO->ES",0,2980.6585,3.7085,0.0342196885666238,5009000,46185000,"NO->ES"
"NP->ES",0,8182.2942,7.3428,0.0342196885666238,26621000,46185000,"NP->ES"
"NZ->ES",0,19634.7026,7.8695,0.0342196885666238,4434000,46185000,"NZ->ES"
"PE->ES",0,8986.8373,3.629,0.0342196885666238,30135000,46185000,"PE->ES"
"PH->ES",0,12381.0402,8.4751,0.0342196885666238,92340000,46185000,"PH->ES"
"PT->ES",0,962.6167,2.7134,0.0342196885666238,10487000,46185000,"PT->ES"
"PY->ES",0,8921.707,5.2847,0.0342196885666238,6382000,46185000,"PY->ES"
"RO->ES",0,2544.005,4.0991,0.0342196885666238,19043000,46185000,"RO->ES"
"RS->ES",0,2233.3566,5.0221,0.0342196885666238,7120000,46185000,"RS->ES"
"SE->ES",0,2863.8652,3.866,0.0342196885666238,9490000,46185000,"SE->ES"
"SG->ES",0,11557.7048,5.8874,0.0342196885666238,5184000,46185000,"SG->ES"
"TH->ES",0,10410.3347,6.287,0.0342196885666238,65500000,46185000,"TH->ES"
"TW->ES",0,11088.9626,7.9055,0.0342196885666238,23293593,46185000,"TW->ES"
"UA->ES",0,3167.651,5.2488,0.0342196885666238,45426000,46185000,"UA->ES"
"US->ES",3,7580.829,4.5177,0.0342196885666238,3.17e+08,46185000,"US->ES"
"UY->ES",0,9639.9324,4.4989,0.0342196885666238,3251000,46185000,"UY->ES"
"VE->ES",0,6825.7638,3.4056,0.0342196885666238,27150000,46185000,"VE->ES"
"VN->ES",0,10824.0776,7.3659,0.0342196885666238,87840000,46185000,"VN->ES"
"AL->FI",0,2402.6632,6.1743,0.0342196885666238,2832000,5408000,"AL->FI"
"AR->FI",0,13735.448,7.2002,0.0342196885666238,40117000,5408000,"AR->FI"
"AT->FI",0,1821.5385,4.7882,0.0342196885666238,8451860,5408000,"AT->FI"
"AU->FI",0,14190.9481,8.0626,0.0342196885666238,22902000,5408000,"AU->FI"
"BD->FI",0,6514.1126,7.9591,0.0342196885666238,142319000,5408000,"BD->FI"
"BG->FI",0,2227.1534,5.2478,0.0342196885666238,7284000,5408000,"BG->FI"
"BO->FI",0,11722.0681,8.0836,0.0342196885666238,10624000,5408000,"BO->FI"
"BR->FI",0,10702.3455,6.6075,0.0342196885666238,192400000,5408000,"BR->FI"
"BY->FI",0,1015.6342,5.6434,0.0342196885666238,9460000,5408000,"BY->FI"
"CA->FI",0,6528.8952,6.4585,0.0342196885666238,3.5e+07,5408000,"CA->FI"
"CH->FI",0,2064.5185,4.6098,0.0342196885666238,7952000,5408000,"CH->FI"
"CL->FI",0,13479.7447,7.6965,0.0342196885666238,17402000,5408000,"CL->FI"
"CN->FI",0,6802.4591,4.3162,0.0342196885666238,1347350000,5408000,"CN->FI"
"CO->FI",0,9732.0271,7.2045,0.0342196885666238,47015000,5408000,"CO->FI"
"DE->FI",0,1581.4582,2.8553,0.0342196885666238,80500000,5408000,"DE->FI"
"DK->FI",0,1084.1228,3.0324,0.0342196885666238,5580000,5408000,"DK->FI"
"EC->FI",0,10869.2541,7.2564,0.0342196885666238,14483000,5408000,"EC->FI"
"ES->FI",0,3394.1754,4.0498,0.0342196885666238,46185000,5408000,"ES->FI"
"FJ->FI",0,14591.2348,7.8925,0.0342196885666238,861000,5408000,"FJ->FI"
"FR->FI",0,2350.8031,4.1796,0.0342196885666238,65350000,5408000,"FR->FI"
"GB->FI",0,1911.9183,3.4634,0.0342196885666238,62262000,5408000,"GB->FI"
"GF->FI",0,8869.9581,5.8684,0.0342196885666238,224000,5408000,"GF->FI"
"GR->FI",0,2752.8554,5.0218,0.0342196885666238,10787000,5408000,"GR->FI"
"HK->FI",0,7785.2623,6.1886,0.0342196885666238,7103000,5408000,"HK->FI"
"ID->FI",0,10298.3035,8.3297,0.0342196885666238,237641000,5408000,"ID->FI"
"IN->FI",1,6231.1954,6.5649,0.0342196885666238,1210570000,5408000,"IN->FI"
"IS->FI",0,2295.6022,5.5005,0.0342196885666238,320000,5408000,"IS->FI"
"IT->FI",0,2391.2569,4.5116,0.0342196885666238,59464000,5408000,"IT->FI"
"JP->FI",0,7480.536,4.8251,0.0342196885666238,127300000,5408000,"JP->FI"
"KH->FI",0,8260.8793,6.7095,0.0342196885666238,13396000,5408000,"KH->FI"
"KR->FI",0,7151.8725,6.3371,0.0342196885666238,48580000,5408000,"KR->FI"
"LA->FI",0,7632.2639,6.3694,0.0342196885666238,6256000,5408000,"LA->FI"
"LK->FI",0,7604.0308,7.3176,0.0342196885666238,20653000,5408000,"LK->FI"
"LV->FI",0,658.52,3.2894,0.0342196885666238,2070000,5408000,"LV->FI"
"MD->FI",0,1789.7,6.4407,0.0342196885666238,3560000,5408000,"MD->FI"
"MM->FI",0,7084.1048,6.2945,0.0342196885666238,47963000,5408000,"MM->FI"
"MY->FI",0,9254.3115,7.6183,0.0342196885666238,30017000,5408000,"MY->FI"
"NL->FI",0,1693.0778,4.0888,0.0342196885666238,16838000,5408000,"NL->FI"
"NO->FI",0,693.2622,3.8823,0.0342196885666238,5009000,5408000,"NO->FI"
"NP->FI",0,5825.8041,7.5106,0.0342196885666238,26621000,5408000,"NP->FI"
"NZ->FI",0,16876.3323,8.4598,0.0342196885666238,4434000,5408000,"NZ->FI"
"PE->FI",0,11464.836,7.3675,0.0342196885666238,30135000,5408000,"PE->FI"
"PH->FI",0,9404.4169,7.467,0.0342196885666238,92340000,5408000,"PH->FI"
"PT->FI",0,3892.424,5.6644,0.0342196885666238,10487000,5408000,"PT->FI"
"PY->FI",0,12099.5466,8.4517,0.0342196885666238,6382000,5408000,"PY->FI"
"RO->FI",0,1936.8961,5.8587,0.0342196885666238,19043000,5408000,"RO->FI"
"RS->FI",0,2143.066,5.8175,0.0342196885666238,7120000,5408000,"RS->FI"
"SE->FI",0,533.8285,2.3228,0.0342196885666238,9490000,5408000,"SE->FI"
"SG->FI",0,9342.334,7.2592,0.0342196885666238,5184000,5408000,"SG->FI"
"TH->FI",0,7987.2564,4.7265,0.0342196885666238,65500000,5408000,"TH->FI"
"TW->FI",0,7961.2719,7.2149,0.0342196885666238,23293593,5408000,"TW->FI"
"UA->FI",0,1710.9994,5.8964,0.0342196885666238,45426000,5408000,"UA->FI"
"US->FI",0,7608.8623,5.1081,0.0342196885666238,3.17e+08,5408000,"US->FI"
"UY->FI",0,12939.1234,8.5487,0.0342196885666238,3251000,5408000,"UY->FI"
"VE->FI",0,9056.5083,7.2218,0.0342196885666238,27150000,5408000,"VE->FI"
"VN->FI",0,8145.7807,7.526,0.0342196885666238,87840000,5408000,"VN->FI"
"AL->FJ",0,16641.0041,8.3367,0.0342196885666238,2832000,861000,"AL->FJ"
"AR->FJ",0,10975.6397,5.9431,0.0342196885666238,40117000,861000,"AR->FJ"
"AT->FJ",0,16377.5759,7.8465,0.0342196885666238,8451860,861000,"AT->FJ"
"AU->FJ",0,3690.8806,1.8551,0.0342196885666238,22902000,861000,"AU->FJ"
"BD->FJ",0,10411.6945,7.8127,0.0342196885666238,142319000,861000,"BD->FJ"
"BG->FJ",0,16129.6604,8.33,0.0342196885666238,7284000,861000,"BG->FJ"
"BO->FJ",0,12080.0989,5.76,0.0342196885666238,10624000,861000,"BO->FJ"
"BR->FJ",0,13875.1278,5.2816,0.0342196885666238,192400000,861000,"BR->FJ"
"BY->FJ",0,15221.9887,8.7256,0.0342196885666238,9460000,861000,"BY->FJ"
"CA->FJ",0,11226.0882,4.1349,0.0342196885666238,3.5e+07,861000,"CA->FJ"
"CH->FJ",0,16651.3659,6.7346,0.0342196885666238,7952000,861000,"CH->FJ"
"CL->FJ",0,10828.1042,5.969,0.0342196885666238,17402000,861000,"CL->FJ"
"CN->FJ",0,8873.615,6.0984,0.0342196885666238,1347350000,861000,"CN->FJ"
"CO->FJ",0,12082.0145,4.8809,0.0342196885666238,47015000,861000,"CO->FJ"
"DE->FJ",0,16162.4543,5.9374,0.0342196885666238,80500000,861000,"DE->FJ"
"DK->FJ",0,15608.6233,7.0878,0.0342196885666238,5580000,861000,"DK->FJ"
"EC->FJ",0,11372.4557,4.9563,0.0342196885666238,14483000,861000,"EC->FJ"
"ES->FJ",0,17751.0652,7.3022,0.0342196885666238,46185000,861000,"ES->FJ"
"FI->FJ",0,14591.2348,7.8925,0.0342196885666238,5408000,861000,"FI->FJ"
"FR->FJ",0,16890.7512,6.0508,0.0342196885666238,65350000,861000,"FR->FJ"
"GB->FJ",0,16107.2346,5.3319,0.0342196885666238,62262000,861000,"GB->FJ"
"GF->FJ",0,14419.2601,7.7397,0.0342196885666238,224000,861000,"GF->FJ"
"GR->FJ",0,16507.0654,7.6671,0.0342196885666238,10787000,861000,"GR->FJ"
"HK->FJ",0,8222.9034,4.9963,0.0342196885666238,7103000,861000,"HK->FJ"
"ID->FJ",0,7111.7619,5.2114,0.0342196885666238,237641000,861000,"ID->FJ"
"IN->FJ",0,11492.173,7.0424,0.0342196885666238,1210570000,861000,"IN->FJ"
"IS->FJ",0,14658.5371,5.2421,0.0342196885666238,320000,861000,"IS->FJ"
"IT->FJ",0,16930.5436,6.674,0.0342196885666238,59464000,861000,"IT->FJ"
"JP->FJ",0,7400.3428,4.0691,0.0342196885666238,127300000,861000,"JP->FJ"
"KH->FJ",0,8700.0594,7.1743,0.0342196885666238,13396000,861000,"KH->FJ"
"KR->FJ",0,7911.9577,4.2669,0.0342196885666238,48580000,861000,"KR->FJ"
"LA->FJ",0,9101.5973,6.8343,0.0342196885666238,6256000,861000,"LA->FJ"
"LK->FJ",1,11050.875,7.2183,0.0342196885666238,20653000,861000,"LK->FJ"
"LV->FJ",0,15138.5617,8.1378,0.0342196885666238,2070000,861000,"LV->FJ"
"MD->FJ",0,15684.7592,9.5228,0.0342196885666238,3560000,861000,"MD->FJ"
"MM->FJ",0,9834.8834,6.7593,0.0342196885666238,47963000,861000,"MM->FJ"
"MY->FJ",0,7983.4923,4.9218,0.0342196885666238,30017000,861000,"MY->FJ"
"NL->FJ",0,16190.1584,5.9049,0.0342196885666238,16838000,861000,"NL->FJ"
"NO->FJ",0,14873.0016,8.0028,0.0342196885666238,5009000,861000,"NO->FJ"
"NP->FJ",0,11114.3442,7.9755,0.0342196885666238,26621000,861000,"NP->FJ"
"NZ->FJ",0,2644.8762,2.159,0.0342196885666238,4434000,861000,"NZ->FJ"
"PE->FJ",0,11503.8659,5.0439,0.0342196885666238,30135000,861000,"PE->FJ"
"PH->FJ",0,6764.8762,6.6714,0.0342196885666238,92340000,861000,"PH->FJ"
"PT->FJ",0,17448.754,7.3682,0.0342196885666238,10487000,861000,"PT->FJ"
"PY->FJ",0,12388.6534,7.1259,0.0342196885666238,6382000,861000,"PY->FJ"
"RO->FJ",0,16066.3544,8.9408,0.0342196885666238,19043000,861000,"RO->FJ"
"RS->FJ",0,16405.9138,8.427,0.0342196885666238,7120000,861000,"RS->FJ"
"SE->FJ",0,15088.2586,7.3992,0.0342196885666238,9490000,861000,"SE->FJ"
"SG->FJ",0,8309.928,4.0545,0.0342196885666238,5184000,861000,"SG->FJ"
"TH->FJ",0,9113.7516,5.1913,0.0342196885666238,65500000,861000,"TH->FJ"
"TW->FJ",0,7718.1826,6.1722,0.0342196885666238,23293593,861000,"TW->FJ"
"UA->FJ",0,15424.3043,7.8377,0.0342196885666238,45426000,861000,"UA->FJ"
"US->FJ",0,10951.9073,2.7845,0.0342196885666238,3.17e+08,861000,"US->FJ"
"UY->FJ",0,11930.2436,7.3287,0.0342196885666238,3251000,861000,"UY->FJ"
"VE->FJ",0,13114.1804,5.0511,0.0342196885666238,27150000,861000,"VE->FJ"
"VN->FJ",0,8500.0218,6.3889,0.0342196885666238,87840000,861000,"VN->FJ"
"AL->FR",0,1396.5037,4.3058,0.0342196885666238,2832000,65350000,"AL->FR"
"AR->FR",1,11575.2664,4.9439,0.0342196885666238,40117000,65350000,"AR->FR"
"AT->FR",0,859.4799,3.9408,0.0342196885666238,8451860,65350000,"AT->FR"
"AU->FR",2,15994.8199,6.777,0.0342196885666238,22902000,65350000,"AU->FR"
"BD->FR",1,8015.3665,6.766,0.0342196885666238,142319000,65350000,"BD->FR"
"BG->FR",0,1847.4597,4.0449,0.0342196885666238,7284000,65350000,"BG->FR"
"BO->FR",0,9831.338,5.9046,0.0342196885666238,10624000,65350000,"BO->FR"
"BR->FR",0,8514.5745,3.5674,0.0342196885666238,192400000,65350000,"BR->FR"
"BY->FR",0,1995.4945,4.4661,0.0342196885666238,9460000,65350000,"BY->FR"
"CA->FR",0,6948.164,3.9134,0.0342196885666238,3.5e+07,65350000,"CA->FR"
"CH->FR",0,376.0677,3.0249,0.0342196885666238,7952000,65350000,"CH->FR"
"CL->FR",0,11465.7783,6.2394,0.0342196885666238,17402000,65350000,"CL->FR"
"CN->FR",0,8847.9009,4.4565,0.0342196885666238,1347350000,65350000,"CN->FR"
"CO->FR",0,8510.4113,4.6021,0.0342196885666238,47015000,65350000,"CO->FR"
"DE->FR",0,779.9046,2.8778,0.0342196885666238,80500000,65350000,"DE->FR"
"DK->FR",0,1290.8385,3.6217,0.0342196885666238,5580000,65350000,"DK->FR"
"EC->FR",0,9557.6126,5.4381,0.0342196885666238,14483000,65350000,"EC->FR"
"ES->FR",0,1069.7368,2.87,0.0342196885666238,46185000,65350000,"ES->FR"
"FI->FR",0,2350.8031,4.1796,0.0342196885666238,5408000,65350000,"FI->FR"
"FJ->FR",0,16890.7512,6.0508,0.0342196885666238,861000,65350000,"FJ->FR"
"GB->FR",0,927.8282,2.5953,0.0342196885666238,62262000,65350000,"GB->FR"
"GF->FR",0,7007.6115,1.6889,0.0342196885666238,224000,65350000,"GF->FR"
"GR->FR",0,1980.114,3.9037,0.0342196885666238,10787000,65350000,"GR->FR"
"HK->FR",0,9741.0003,5.3122,0.0342196885666238,7103000,65350000,"HK->FR"
"ID->FR",0,11857.4158,6.8178,0.0342196885666238,237641000,65350000,"ID->FR"
"IN->FR",1,7333.215,4.0978,0.0342196885666238,1210570000,65350000,"IN->FR"
"IS->FR",0,2610.0465,4.1992,0.0342196885666238,320000,65350000,"IS->FR"
"IT->FR",0,767.9252,2.6431,0.0342196885666238,59464000,65350000,"IT->FR"
"JP->FR",0,9797.1807,4.3277,0.0342196885666238,127300000,65350000,"JP->FR"
"KH->FR",0,9862.9955,6.4826,0.0342196885666238,13396000,65350000,"KH->FR"
"KR->FR",0,9416.5184,5.231,0.0342196885666238,48580000,65350000,"KR->FR"
"LA->FR",0,9290.3389,6.7289,0.0342196885666238,6256000,65350000,"LA->FR"
