"","Transitions","bodySize","hostDistances","rangeOverlap","roostOverlap","wingAspectRatio","wingLoading","Key"
"Ph->Ef",0,65,0.689,1,0,0.9,2.5,"Ph->Ef"
"Ps->Ef",2,49,0.763,1,1,0.4,3.8,"Ps->Ef"
"Tb->Ef",1,29,1.016,0.99940271,1,1.6,2.1,"Tb->Ef"
"Ap->Lb",0,26.1,0.878,0.131926823,0,0.6,5.9,"Ap->Lb"
"Ef->Lb",0,29.1,0.971,0.576068561,0,0.1,4.6,"Ef->Lb"
"Lbl->Lb",0,3.1,0.316,9.45e-05,1,0.001,0.001,"Lbl->Lb"
"Lc->Lb",1,41.1,0.546,0.573874927,1,1.4,2.5,"Lc->Lb"
"Li->Lb",0,37.1,0.696,1,1,1,3.891836735,"Li->Lb"
"Ln->Lb",0,6.1,0.937,0.582864577,0,0.1,5.8,"Ln->Lb"
"Ls->Lb",1,11.2,0.118,0.032222179,1,0.001,0.001,"Ls->Lb"
"Lx->Lb",0,37.1,0.624,0.001,1,1,3.891836735,"Lx->Lb"
"Ma->Lb",0,11.9,0.944,1,0,0.85859375,3.891836735,"Ma->Lb"
"Mc->Lb",0,13.9,0.867,0.001,0,1.1,9.2,"Mc->Lb"
"Ml->Lb",0,6.9,0.886,0.571154659,0,0.7,6.5,"Ml->Lb"
"My->Lb",0,9.9,0.93,0.022809474,0,0.4,6.2,"My->Lb"
"Nh->Lb",0,15.9,0.966,0.999999998,0,0.1,3.3,"Nh->Lb"
"Ph->Lb",0,35.9,0.746,0.059008785,0,1,7.1,"Ph->Lb"
"Ps->Lb",0,19.9,0.82,0.991257879,0,0.5,8.4,"Ps->Lb"
"Tb->Lb",0,0.1,0.839,0.515980729,0,1.5,2.5,"Tb->Lb"
"Ap->Lbl",0,23,0.8,0.630884888,0,0.6,5.9,"Ap->Lbl"
"Ef->Lbl",0,26,0.893,0.326668453,0,0.1,4.6,"Ef->Lbl"
"Lb->Lbl",0,3.1,0.316,0.001,1,0.001,0.001,"Lb->Lbl"
"Lc->Lbl",1,38,0.468,0.328398675,1,1.4,2.5,"Lc->Lbl"
"Li->Lbl",0,34,0.618,0.001,1,1,3.891836735,"Li->Lbl"
"Ln->Lbl",0,3,0.859,0.310774266,0,0.1,5.8,"Ln->Lbl"
"Ls->Lbl",0,14.3,0.354,0.001,1,0.001,0.001,"Ls->Lbl"
"Lx->Lbl",0,34,0.546,1,1,1,3.891836735,"Lx->Lbl"
"Ma->Lbl",0,15,0.866,0.001,0,0.85859375,3.891836735,"Ma->Lbl"
"Mc->Lbl",1,17,0.789,0.742851858,0,1.1,9.2,"Mc->Lbl"
"Ml->Lbl",0,10,0.808,0.295377982,0,0.7,6.5,"Ml->Lbl"
"My->Lbl",0,13,0.852,0.747632846,0,0.4,6.2,"My->Lbl"
"Nh->Lbl",0,19,0.888,0.001,0,0.1,3.3,"Nh->Lbl"
"Ph->Lbl",0,39,0.668,0.741306921,0,1,7.1,"Ph->Lbl"
"Ps->Lbl",0,23,0.742,0.001,0,0.5,8.4,"Ps->Lbl"
"Tb->Lbl",0,3,0.761,0.415860176,0,1.5,2.5,"Tb->Lbl"
"Ap->Lc",0,15,0.71,0.998093531,0,2,8.4,"Ap->Lc"
"Ef->Lc",4,12,0.803,0.99268662,0,1.5,7.1,"Ef->Lc"
