"","Transitions","betweenGIN_SLE_Assymetry","betweenLBR_GIN_Assymetry","betweenLBR_SLE_Assymetry","destinationGecon","destinationPdens","destinationPop_Size","destinationPrec","destinationPrecss","destinationTemp","destinationTmpss","destinationTT100k","greatCircleDistances","international_border_shared","international_language_shared","national_border_shared","national_language_shared","originGecon","originPdens","originPop_Size","originPrec","originPrecss","originTemp","originTmpss","originTT100k","within_country","Key"
"RiverCess->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-1.57129174526,0,0,1,1,-0.935163584102,-1.07736765225,-1.9601365376,0.61906736368,-1.10981327878,-0.169616103475,-1.53383854724,0.605482898714,1,"RiverCess->Nimba"
"RiverGee->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.712464827627,0,0,0,1,-0.215263406118,-1.12609377668,-1.78070721933,0.394475782796,-2.50475504759,-0.162147962037,-0.440765089426,1.33759862646,1,"RiverGee->Nimba"
"Sinoe->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-1.02160868306,0,0,1,1,-0.173806458142,-1.27163758864,-1.43401551925,1.11844495495,-1.60578503609,-0.254612618919,-1.70551660182,2.01045073094,1,"Sinoe->Nimba"
"Bomi->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.511854354418,0,0,0,0,-0.211763248152,0.080624097933,-1.15674947368,1.4409583074,-0.196290763622,-0.0560933857421,-1.02184931642,-1.1260462681,1,"Bomi->Nimba"
"Bong->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-1.46004066239,0,0,1,1,-0.226213618859,-0.235451190017,0.385064444348,-0.383884699358,-1.02999768378,-0.223617028643,-1.22706362839,0.0509909087495,1,"Bong->Nimba"
"Gbarpolu->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.631425264062,0,0,0,1,0.232448692544,-1.37133590421,-1.63196806332,0.13793600155,-0.838286338539,0.341797102762,-0.757008565111,0.92099071085,1,"Gbarpolu->Nimba"
"GrandCapeMount->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.16213250756,0,0,0,0,0.592840291171,-0.527918369829,-1.05156037219,1.082202463,-0.295843697077,0.0285547952272,-0.770757390957,0.186185197962,1,"GrandCapeMount->Nimba"
"GrandBassa->Nimba",1,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-1.17596837575,0,0,1,1,-1.15279645405,-0.468923829051,-0.27440179941,0.453172178823,-0.729780124557,-0.0771293333951,-1.15062206384,-0.411832083106,1,"GrandBassa->Nimba"
"GrandKru->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.546838870051,0,0,0,0,-0.471173266898,-0.897642311997,-2.16550885487,1.08492034796,-2.12365358357,-0.7354725505,-0.361529774117,0.949819345886,1,"GrandKru->Nimba"
"Lofa->Nimba",0,0,0,0,-0.282196134081,-0.22051365876,0.953669646124,-0.54584688207,-0.914655859038,-0.320511146169,-1.0710026209,0.744851115251,-0.647109762022,0,0,0,1,0.268600226134,-0.515252482452,0.148302962583,0.0562931472053,-0.933279161223,-0.764580630213,-0.986967475579,0.741633569176,1,"Lofa->Nimba"
