"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"LA->AR",0,10.1779,17476.336,6256000,40117000,"LA->AR"
"LK->AR",0,9.1875,15112.5695,20653000,40117000,"LK->AR"
"LV->AR",0,7.9264,13462.4924,2070000,40117000,"LV->AR"
"MD->AR",0,7.5476,13305.6873,3560000,40117000,"MD->AR"
"MM->AR",0,10.1197,17328.3243,47963000,40117000,"MM->AR"
"MY->AR",0,8.5199,16190.1971,30017000,40117000,"MY->AR"
"NL->AR",0,6.2792,12117.2436,16838000,40117000,"NL->AR"
"NO->AR",0,6.8588,13120.9711,5009000,40117000,"NO->AR"
"NP->AR",0,10.4932,17071.284,26621000,40117000,"NP->AR"
"NZ->AR",0,5.3237,9342.6244,4434000,40117000,"NZ->AR"
"PE->AR",0,3.0444,3301.7553,30135000,40117000,"PE->AR"
"PH->AR",0,7.116,16799.5715,92340000,40117000,"PH->AR"
"PT->AR",0,5.0214,9864.0623,10487000,40117000,"PT->AR"
"PY->AR",0,2.1343,1638.8784,6382000,40117000,"PY->AR"
"RO->AR",0,6.7711,12911.4413,19043000,40117000,"RO->AR"
"RS->AR",0,8.1724,12567.0546,7120000,40117000,"RS->AR"
"SE->AR",0,7.0163,13217.5209,9490000,40117000,"SE->AR"
"SG->AR",1,8.8441,15769.9609,5184000,40117000,"SG->AR"
"TH->AR",0,8.5517,16917.6461,65500000,40117000,"TH->AR"
"TW->AR",0,6.5465,18311.8447,23293593,40117000,"TW->AR"
"UA->AR",0,8.2119,13569.0019,45426000,40117000,"UA->AR"
"US->AR",6,3.1587,9044.1375,3.17e+08,40117000,"US->AR"
"UY->AR",0,1.3855,971.7584,3251000,40117000,"UY->AR"
"VE->AR",0,5.4253,5384.826,27150000,40117000,"VE->AR"
"VN->AR",0,8.879,17368.0021,87840000,40117000,"VN->AR"
"AL->AT",0,3.3192,809.0447,2832000,8451860,"AL->AT"
"AR->AT",0,7.0946,12370.6098,40117000,8451860,"AR->AT"
"AU->AT",0,7.9105,15137.4859,22902000,8451860,"AU->AT"
"BD->AT",0,7.545,7157.5044,142319000,8451860,"BD->AT"
"BG->AT",0,3.2732,1080.7806,7284000,8451860,"BG->AT"
"BO->AT",0,8.0375,10683.4536,10624000,8451860,"BO->AT"
"BR->AT",0,5.9222,9315.4038,192400000,8451860,"BR->AT"
"BY->AT",0,3.2526,1204.042,9460000,8451860,"BY->AT"
"CA->AT",0,5.6645,7366.5216,3.5e+07,8451860,"CA->AT"
"CH->AT",0,3.4349,487.0755,7952000,8451860,"CH->AT"
"CL->AT",0,7.591,12297.4,17402000,8451860,"CL->AT"
"CN->AT",0,5.3193,8020.8062,1347350000,8451860,"CN->AT"
"CO->AT",0,7.1585,9334.2483,47015000,8451860,"CO->AT"
"DE->AT",0,2.17,507.188,80500000,8451860,"DE->AT"
"DK->AT",0,4.3441,1002.5377,5580000,8451860,"DK->AT"
"EC->AT",0,7.1509,10396.4603,14483000,8451860,"EC->AT"
"ES->AT",0,3.9443,1870.9686,46185000,8451860,"ES->AT"
"FI->AT",0,4.7882,1821.5385,5408000,8451860,"FI->AT"
"FJ->AT",0,7.8465,16377.5759,861000,8451860,"FJ->AT"
"FR->AT",0,3.9408,859.4799,65350000,8451860,"FR->AT"
"GB->AT",1,3.4445,1317.9986,62262000,8451860,"GB->AT"
"GF->AT",0,5.6297,7865.7449,224000,8451860,"GF->AT"
"GR->AT",0,4.0251,1377.6353,10787000,8451860,"GR->AT"
"HK->AT",2,7.1917,8896.5448,7103000,8451860,"HK->AT"
"ID->AT",0,6.8652,11003.5279,237641000,8451860,"ID->AT"
"IN->AT",0,4.92,6499.7934,1210570000,8451860,"IN->AT"
"IS->AT",0,5.6401,2872.8382,320000,8451860,"IS->AT"
"IT->AT",0,3.7109,569.7351,59464000,8451860,"IT->AT"
"JP->AT",1,5.1374,9085.9872,127300000,8451860,"JP->AT"
"KH->AT",0,7.0483,9004.4739,13396000,8451860,"KH->AT"
"KR->AT",1,7.0797,8663.3981,48580000,8451860,"KR->AT"
"LA->AT",0,6.7082,8430.8606,6256000,8451860,"LA->AT"
"LK->AT",0,6.6323,7611.8884,20653000,8451860,"LK->AT"
"LV->AT",0,4.6293,1239.3686,2070000,8451860,"LV->AT"
"MD->AT",0,3.8336,1117.5148,3560000,8451860,"MD->AT"
"MM->AT",0,6.6333,7769.6723,47963000,8451860,"MM->AT"
"MY->AT",0,4.8438,9952.4995,30017000,8451860,"MY->AT"
"NL->AT",0,4.2805,798.0024,16838000,8451860,"NL->AT"
"NO->AT",0,5.4551,1746.6648,5009000,8451860,"NO->AT"
"NP->AT",0,5.6573,6410.9297,26621000,8451860,"NP->AT"
"NZ->AT",1,8.4138,18239.8591,4434000,8451860,"NZ->AT"
"PE->AT",0,7.3215,10747.4787,30135000,8451860,"PE->AT"
"PH->AT",0,7.7793,10522.6567,92340000,8451860,"PH->AT"
"PT->AT",0,5.0707,2667.9292,10487000,8451860,"PT->AT"
"PY->AT",0,7.7664,10790.3754,6382000,8451860,"PY->AT"
"RO->AT",0,3.4234,811.7176,19043000,8451860,"RO->AT"
"RS->AT",0,3.4588,662.6329,7120000,8451860,"RS->AT"
"SE->AT",0,4.8548,1385.726,9490000,8451860,"SE->AT"
"SG->AT",0,6.3182,9886.3602,5184000,8451860,"SG->AT"
"TH->AT",0,5.0652,8656.2744,65500000,8451860,"TH->AT"
"TW->AT",0,6.9001,9218.0863,23293593,8451860,"TW->AT"
"UA->AT",0,3.4237,1336.5757,45426000,8451860,"UA->AT"
"US->AT",1,5.062,8237.7816,3.17e+08,8451860,"US->AT"
"UY->AT",0,8.2056,11480.4146,3251000,8451860,"UY->AT"
"VE->AT",0,6.5365,8470.3857,27150000,8451860,"VE->AT"
"VN->AT",0,7.8647,9010.623,87840000,8451860,"VN->AT"
"AL->AU",0,9.0629,14725.179,2832000,22902000,"AL->AU"
"AR->AU",3,6.6693,12070.2132,40117000,22902000,"AR->AU"
