"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"SE->BO",0,7.5903,11243.2846,9490000,10624000,"SE->BO"
"SG->BO",0,8.6855,17938.4178,5184000,10624000,"SG->BO"
"TH->BO",0,8.3685,18501.5573,65500000,10624000,"TH->BO"
"TW->BO",0,6.3633,19028.0248,23293593,10624000,"TW->BO"
"UA->BO",0,8.0288,11999.7249,45426000,10624000,"UA->BO"
"US->BO",0,2.9755,6891.1664,3.17e+08,10624000,"US->BO"
"UY->BO",0,4.1414,2220.1126,3251000,10624000,"UY->BO"
"VE->BO",0,4.2304,3030.9845,27150000,10624000,"VE->BO"
"VN->BO",0,8.6958,19280.5164,87840000,10624000,"VN->BO"
"AL->BR",0,5.9467,9358.7756,2832000,192400000,"AL->BR"
"AR->BR",4,2.0062,3060.8456,40117000,192400000,"AR->BR"
"AT->BR",1,5.9222,9315.4038,8451860,192400000,"AT->BR"
"AU->BR",4,6.0078,14988.366,22902000,192400000,"AU->BR"
"BD->BR",3,8.8765,15581.7036,142319000,192400000,"BD->BR"
"BG->BR",0,6.1447,9912.607,7284000,192400000,"BG->BR"
"BO->BR",0,2.3371,2032.3659,10624000,192400000,"BO->BR"
"BY->BR",0,6.5403,10505.5933,9460000,192400000,"BY->BR"
"CA->BR",0,3.8477,8753.1779,3.5e+07,192400000,"CA->BR"
"CH->BR",0,5.4419,8877.0603,7952000,192400000,"CH->BR"
"CL->BR",1,2.672,3056.2796,17402000,192400000,"CL->BR"
"CN->BR",1,6.6689,17280.5106,1347350000,192400000,"CN->BR"
"CO->BR",0,4.2524,4142.5392,47015000,192400000,"CO->BR"
"DE->BR",0,3.7522,9271.3612,80500000,192400000,"DE->BR"
"DK->BR",0,6.7303,9643.3478,5580000,192400000,"DK->BR"
"EC->BR",0,4.669,3892.3795,14483000,192400000,"EC->BR"
"ES->BR",0,3.7002,7452.6044,46185000,192400000,"ES->BR"
"FI->BR",0,6.6075,10702.3455,5408000,192400000,"FI->BR"
"FJ->BR",0,5.2816,13875.1278,861000,192400000,"FJ->BR"
"FR->BR",0,3.5674,8514.5745,65350000,192400000,"FR->BR"
"GB->BR",1,4.3808,8790.844,62262000,192400000,"GB->BR"
"GF->BR",0,3.6105,2423.7215,224000,192400000,"GF->BR"
"GR->BR",0,5.9186,9615.2074,10787000,192400000,"GR->BR"
"HK->BR",3,6.4917,17884.8959,7103000,192400000,"HK->BR"
"ID->BR",0,8.4602,16972.1716,237641000,192400000,"ID->BR"
"IN->BR",0,7.4618,14357.4325,1210570000,192400000,"IN->BR"
"IS->BR",0,4.9548,9162.8721,320000,192400000,"IS->BR"
"IT->BR",0,4.284,8881.0493,59464000,192400000,"IT->BR"
"JP->BR",0,4.9556,17828.7635,127300000,192400000,"JP->BR"
"KH->BR",0,9.6243,16881.3535,13396000,192400000,"KH->BR"
"KR->BR",1,5.8237,17792.8991,48580000,192400000,"KR->BR"
"LA->BR",0,9.5164,16758.8558,6256000,192400000,"LA->BR"
"LK->BR",0,8.2144,14139.6129,20653000,192400000,"LK->BR"
"LV->BR",0,6.595,10403.5481,2070000,192400000,"LV->BR"
"MD->BR",0,7.3375,10281.9458,3560000,192400000,"MD->BR"
"MM->BR",0,9.4582,16069.9497,47963000,192400000,"MM->BR"
"MY->BR",0,8.6321,16983.0542,30017000,192400000,"MY->BR"
"NL->BR",0,5.1139,9061.9017,16838000,192400000,"NL->BR"
"NO->BR",0,7.0373,10116.5485,5009000,192400000,"NO->BR"
"NP->BR",1,9.4632,14954.948,26621000,192400000,"NP->BR"
"NZ->BR",0,5.849,12402.4192,4434000,192400000,"NZ->BR"
"PE->BR",1,3.7058,3125.6966,30135000,192400000,"PE->BR"
"PH->BR",0,6.4545,18716.411,92340000,192400000,"PH->BR"
"PT->BR",0,3.0152,6814.6978,10487000,192400000,"PT->BR"
"PY->BR",0,1.8442,1497.6375,6382000,192400000,"PY->BR"
"RO->BR",0,6.6031,9887.6925,19043000,192400000,"RO->BR"
"RS->BR",0,6.7143,9545.9128,7120000,192400000,"RS->BR"
"SE->BR",0,6.7006,10177.2286,9490000,192400000,"SE->BR"
"SG->BR",0,8.2072,16413.5075,5184000,192400000,"SG->BR"
"TH->BR",0,7.8902,16497.998,65500000,192400000,"TH->BR"
"TW->BR",0,5.885,18447.6325,23293593,192400000,"TW->BR"
"UA->BR",1,7.0073,10543.4605,45426000,192400000,"UA->BR"
"US->BR",7,2.4972,7907.258,3.17e+08,192400000,"US->BR"
"UY->BR",0,2.2834,2244.9237,3251000,192400000,"UY->BR"
"VE->BR",0,4.5005,3632.6964,27150000,192400000,"VE->BR"
"VN->BR",0,8.0633,17268.2595,87840000,192400000,"VN->BR"
"AL->BY",0,5.3844,1517.2472,2832000,9460000,"AL->BY"
"AR->BY",0,7.9984,13564.7423,40117000,9460000,"AR->BY"
"AT->BY",0,3.2526,1204.042,8451860,9460000,"AT->BY"
"AU->BY",0,9.4517,14104.5074,22902000,9460000,"AU->BY"
"BD->BY",0,8.7392,6172.7166,142319000,9460000,"BD->BY"
"BG->BY",0,5.1806,1235.9093,7284000,9460000,"BG->BY"
"BO->BY",0,8.8774,11794.863,10624000,9460000,"BO->BY"
"BR->BY",0,6.5403,10505.5933,192400000,9460000,"BR->BY"
"CA->BY",0,6.8735,7434.8656,3.5e+07,9460000,"CA->BY"
"CH->BY",0,5.3727,1628.8489,7952000,9460000,"CH->BY"
"CL->BY",0,8.4948,13457.5955,17402000,9460000,"CL->BY"
"CN->BY",0,6.1536,6853.8925,1347350000,9460000,"CN->BY"
"CO->BY",0,8.0376,10171.2071,47015000,9460000,"CO->BY"
"DE->BY",0,2.7881,1276.4362,80500000,9460000,"DE->BY"
"DK->BY",0,5.7663,1154.5262,5580000,9460000,"DK->BY"
"EC->BY",0,8.0546,11279.8646,14483000,9460000,"EC->BY"
"ES->BY",0,4.848,3052.9891,46185000,9460000,"ES->BY"
"FI->BY",0,5.6434,1015.6342,5408000,9460000,"FI->BY"
"FJ->BY",0,8.7256,15221.9887,861000,9460000,"FJ->BY"
"FR->BY",1,4.4661,1995.4945,65350000,9460000,"FR->BY"
"GB->BY",0,4.2434,2003.4291,62262000,9460000,"GB->BY"
"GF->BY",0,6.155,8947.8843,224000,9460000,"GF->BY"
"GR->BY",0,4.9546,1770.9175,10787000,9460000,"GR->BY"
"HK->BY",0,7.9123,7761.0024,7103000,9460000,"HK->BY"
"ID->BY",0,9.1509,10028.5479,237641000,9460000,"ID->BY"
"IN->BY",0,6.4977,5681.0813,1210570000,9460000,"IN->BY"
"IS->BY",0,6.2582,3017.116,320000,9460000,"IS->BY"
"IT->BY",0,3.7217,1716.0154,59464000,9460000,"IT->BY"
"JP->BY",0,7.3563,7885.9515,127300000,9460000,"JP->BY"
"KH->BY",0,9.0263,7996.6747,13396000,9460000,"KH->BY"
"KR->BY",0,6.8207,7459.4462,48580000,9460000,"KR->BY"
"LA->BY",0,8.6862,7396.5091,6256000,9460000,"LA->BY"
"LK->BY",0,7.2504,6948.9212,20653000,9460000,"LK->BY"
"LV->BY",0,4.3373,423.2439,2070000,9460000,"LV->BY"
"MD->BY",0,5.3452,775.7305,3560000,9460000,"MD->BY"
"MM->BY",0,8.6113,6773.9732,47963000,9460000,"MM->BY"
"MY->BY",0,8.0964,8971.497,30017000,9460000,"MY->BY"
"NL->BY",0,6.1433,1555.4855,16838000,9460000,"NL->BY"
"NO->BY",0,6.0732,1424.7874,5009000,9460000,"NO->BY"
"NP->BY",0,8.4991,5441.5918,26621000,9460000,"NP->BY"
"NZ->BY",0,9.2929,17110.0912,4434000,9460000,"NZ->BY"
"PE->BY",0,8.2006,11742.2852,30135000,9460000,"PE->BY"
"PH->BY",0,9.8282,9393.8503,92340000,9460000,"PH->BY"
"PT->BY",0,5.6888,3770.3798,10487000,9460000,"PT->BY"
"PY->BY",0,8.3845,11971.1818,6382000,9460000,"PY->BY"
"RO->BY",0,5.7915,978.5694,19043000,9460000,"RO->BY"
"RS->BY",0,5.7503,1252.9245,7120000,9460000,"RS->BY"
"SE->BY",0,5.7366,961.0055,9490000,9460000,"SE->BY"
"SG->BY",0,7.3279,8972.3754,5184000,9460000,"SG->BY"
"TH->BY",0,7.0433,7676.0257,65500000,9460000,"TH->BY"
"TW->BY",0,9.1779,8047.7868,23293593,9460000,"TW->BY"
"UA->BY",0,4.6711,709.513,45426000,9460000,"UA->BY"
"US->BY",1,5.9411,8460.1767,3.17e+08,9460000,"US->BY"
"UY->BY",0,8.8237,12682.2575,3251000,9460000,"UY->BY"
"VE->BY",0,7.1546,9388.05,27150000,9460000,"VE->BY"
"VN->BY",0,7.3266,7956.1676,87840000,9460000,"VN->BY"
"AL->CA",0,6.9027,8169.9177,2832000,3.5e+07,"AL->CA"
"AR->CA",0,4.5092,10190.5176,40117000,3.5e+07,"AR->CA"
"AT->CA",0,5.6645,7366.5216,8451860,3.5e+07,"AT->CA"
"AU->CA",0,4.8611,14514.2692,22902000,3.5e+07,"AU->CA"
"BD->CA",1,7.8074,11889.8523,142319000,3.5e+07,"BD->CA"
"BG->CA",0,6.4779,8362.2868,7284000,3.5e+07,"BG->CA"
"BO->CA",0,4.326,7964.6886,10624000,3.5e+07,"BO->CA"
"BR->CA",0,3.8477,8753.1779,192400000,3.5e+07,"BR->CA"
"BY->CA",0,6.8735,7434.8656,9460000,3.5e+07,"BY->CA"
"CH->CA",0,5.3006,7090.4756,7952000,3.5e+07,"CH->CA"
"CL->CA",0,4.535,9429.0964,17402000,3.5e+07,"CL->CA"
"CN->CA",1,4.6317,10624.4639,1347350000,3.5e+07,"CN->CA"
"CO->CA",0,3.447,4985.7462,47015000,3.5e+07,"CO->CA"
"DE->CA",0,4.0854,6860.8794,80500000,3.5e+07,"DE->CA"
"DK->CA",0,5.6539,6493.2878,5580000,3.5e+07,"DK->CA"
"EC->CA",0,3.5223,5893.2407,14483000,3.5e+07,"EC->CA"
"ES->CA",0,5.2819,7010.4214,46185000,3.5e+07,"ES->CA"
"FI->CA",0,6.4585,6528.8952,5408000,3.5e+07,"FI->CA"
"FJ->CA",0,4.1349,11226.0882,861000,3.5e+07,"FJ->CA"
"FR->CA",0,3.9134,6948.164,65350000,3.5e+07,"FR->CA"
"GB->CA",0,3.3116,6095.8115,62262000,3.5e+07,"GB->CA"
"GF->CA",0,5.6023,6427.5351,224000,3.5e+07,"GF->CA"
"GR->CA",0,5.6799,8743.0611,10787000,3.5e+07,"GR->CA"
"HK->CA",0,4.3492,11530.9814,7103000,3.5e+07,"HK->CA"
"ID->CA",0,7.3135,14179.7686,237641000,3.5e+07,"ID->CA"
"IN->CA",0,5.7748,12248.5005,1210570000,3.5e+07,"IN->CA"
"IS->CA",0,3.8081,4508.8201,320000,3.5e+07,"IS->CA"
"IT->CA",0,5.24,7663.3944,59464000,3.5e+07,"IT->CA"
"JP->CA",1,3.8089,9265.6042,127300000,3.5e+07,"JP->CA"
"KH->CA",0,8.4776,12875.121,13396000,3.5e+07,"KH->CA"
"KR->CA",0,4.677,9627.5851,48580000,3.5e+07,"KR->CA"
"LA->CA",0,8.0999,12327.1511,6256000,3.5e+07,"LA->CA"
"LK->CA",0,7.3786,13747.3792,20653000,3.5e+07,"LK->CA"
"LV->CA",0,6.1175,7011.6377,2070000,3.5e+07,"LV->CA"
"MD->CA",0,7.6708,8105.5726,3560000,3.5e+07,"MD->CA"
"MM->CA",0,8.3115,12215.5689,47963000,3.5e+07,"MM->CA"
"MY->CA",0,7.563,13615.2448,30017000,3.5e+07,"MY->CA"
"NL->CA",0,4.4328,6579.7106,16838000,3.5e+07,"NL->CA"
"NO->CA",0,5.9825,6010.4209,5009000,3.5e+07,"NO->CA"
"NP->CA",0,7.7762,11474.72,26621000,3.5e+07,"NP->CA"
"NZ->CA",0,4.7023,13355.795,4434000,3.5e+07,"NZ->CA"
"PE->CA",0,3.61,6888.9627,30135000,3.5e+07,"PE->CA"
"PH->CA",0,5.3078,12381.7938,92340000,3.5e+07,"PH->CA"
"PT->CA",0,5.758,6310.3231,10487000,3.5e+07,"PT->CA"
"PY->CA",0,5.6919,9120.9968,6382000,3.5e+07,"PY->CA"
"RO->CA",0,7.0888,8038.0536,19043000,3.5e+07,"RO->CA"
"RS->CA",0,6.993,8018.5888,7120000,3.5e+07,"RS->CA"
"SE->CA",0,5.9652,6478.5001,9490000,3.5e+07,"SE->CA"
"SG->CA",0,7.0605,14076.6371,5184000,3.5e+07,"SG->CA"
"TH->CA",0,6.7435,12878.1441,65500000,3.5e+07,"TH->CA"
"TW->CA",0,4.7383,11121.5801,23293593,3.5e+07,"TW->CA"
"UA->CA",0,6.1678,8131.8982,45426000,3.5e+07,"UA->CA"
"US->CA",1,1.3505,1229.1707,3.17e+08,3.5e+07,"US->CA"
"UY->CA",0,5.8947,10176.6004,3251000,3.5e+07,"UY->CA"
"VE->CA",0,3.6171,5156.069,27150000,3.5e+07,"VE->CA"
"VN->CA",0,7.0708,12479.8623,87840000,3.5e+07,"VN->CA"
"AL->CH",0,5.1697,1125.0433,2832000,7952000,"AL->CH"
"AR->CH",0,6.3044,11936.859,40117000,7952000,"AR->CH"
"AT->CH",0,3.4349,487.0755,8451860,7952000,"AT->CH"
"AU->CH",0,7.4607,15624.4954,22902000,7952000,"AU->CH"
"BD->CH",0,7.1651,7644.504,142319000,7952000,"BD->CH"
"BG->CH",0,4.9771,1518.781,7284000,7952000,"BG->CH"
"BO->CH",0,6.9256,10207.2807,10624000,7952000,"BO->CH"
"BR->CH",0,5.4419,8877.0603,192400000,7952000,"BR->CH"
"BY->CH",0,5.3727,1628.8489,9460000,7952000,"BY->CH"
"CA->CH",0,5.3006,7090.4756,3.5e+07,7952000,"CA->CH"
"CL->CH",0,6.8008,11837.8131,17402000,7952000,"CL->CH"
"CN->CH",0,6.8101,8477.0724,1347350000,7952000,"CN->CH"
"CO->CH",0,6.0466,8857.4757,47015000,7952000,"CO->CH"
"DE->CH",0,2.5846,489.8557,80500000,7952000,"DE->CH"
"DK->CH",0,3.9523,1058.7768,5580000,7952000,"DK->CH"
"EC->CH",0,6.1219,9914.0504,14483000,7952000,"EC->CH"
"ES->CH",0,3.1541,1424.8122,46185000,7952000,"ES->CH"
"FI->CH",0,4.6098,2064.5185,5408000,7952000,"FI->CH"
"FJ->CH",0,6.7346,16651.3659,861000,7952000,"FJ->CH"
"FR->CH",1,3.0249,376.0677,65350000,7952000,"FR->CH"
"GB->CH",0,2.6693,995.2452,62262000,7952000,"GB->CH"
"GF->CH",0,4.7138,7383.2695,224000,7952000,"GF->CH"
"GR->CH",0,4.077,1718.6924,10787000,7952000,"GR->CH"
"HK->CH",0,6.0045,9366.1731,7103000,7952000,"HK->CH"
"ID->CH",0,7.2124,11490.3586,237641000,7952000,"ID->CH"
"IN->CH",0,5.2543,6979.7466,1210570000,7952000,"IN->CH"
"IS->CH",0,5.1001,2658.2026,320000,7952000,"IS->CH"
"IT->CH",0,3.507,577.9695,59464000,7952000,"IT->CH"
"JP->CH",0,5.8822,9465.2164,127300000,7952000,"JP->CH"
"KH->CH",0,7.0468,9491.2788,13396000,7952000,"KH->CH"
"KR->CH",0,6.7304,9069.3565,48580000,7952000,"KR->CH"
"LA->CH",0,6.7067,8916.4375,6256000,7952000,"LA->CH"
"LK->CH",0,5.3058,8069.918,20653000,7952000,"LK->CH"
"LV->CH",0,5.4274,1572.5927,2070000,7952000,"LV->CH"
"MD->CH",0,6.17,1603.5139,3560000,7952000,"MD->CH"
"MM->CH",0,6.6318,8256.575,47963000,7952000,"MM->CH"
"MY->CH",0,6.1914,10439.5291,30017000,7952000,"MY->CH"
"NL->CH",0,3.7302,571.8248,16838000,7952000,"NL->CH"
"NO->CH",0,5.3402,1820.7139,5009000,7952000,"NO->CH"
"NP->CH",0,7.2557,6897.9971,26621000,7952000,"NP->CH"
"NZ->CH",0,7.3019,18719.5297,4434000,7952000,"NZ->CH"
"PE->CH",0,6.2096,10260.4383,30135000,7952000,"PE->CH"
"PH->CH",0,7.9075,10995.0283,92340000,7952000,"PH->CH"
"PT->CH",0,3.7186,2184.4853,10487000,7952000,"PT->CH"
"PY->CH",0,7.2861,10343.0116,6382000,7952000,"PY->CH"
"RO->CH",0,4.9853,1280.8834,19043000,7952000,"RO->CH"
"RS->CH",0,3.1008,1067.1132,7120000,7952000,"RS->CH"
"SE->CH",0,4.608,1563.4151,9490000,7952000,"SE->CH"
"SG->CH",0,5.3894,10370.8393,5184000,7952000,"SG->CH"
"TH->CH",0,5.0638,9143.3473,65500000,7952000,"TH->CH"
"TW->CH",0,7.3379,9672.7395,23293593,7952000,"TW->CH"
"UA->CH",0,5.1708,1823.3448,45426000,7952000,"UA->CH"
"US->CH",3,3.9501,7904.6031,3.17e+08,7952000,"US->CH"
"UY->CH",0,7.653,11062.2839,3251000,7952000,"UY->CH"
"VE->CH",0,6.2167,7986.5833,27150000,7952000,"VE->CH"
"VN->CH",0,7.5208,9494.9158,87840000,7952000,"VN->CH"
"AL->CL",0,7.7831,12402.0819,2832000,17402000,"AL->CL"
"AR->CL",4,1.6683,816.7659,40117000,17402000,"AR->CL"
"AT->CL",1,7.591,12297.4,8451860,17402000,"AT->CL"
"AU->CL",1,5.9326,12370.7626,22902000,17402000,"AU->CL"
"BD->CL",1,10.1127,18041.0928,142319000,17402000,"BD->CL"
"BG->CL",0,7.8475,12959.2322,7284000,17402000,"BG->CL"
"BO->CL",0,3.094,1801.1782,10624000,17402000,"BO->CL"
"BR->CL",2,2.672,3056.2796,192400000,17402000,"BR->CL"
"BY->CL",0,8.4948,13457.5955,9460000,17402000,"BY->CL"
"CA->CL",0,4.535,9429.0964,3.5e+07,17402000,"CA->CL"
"CH->CL",0,6.8008,11837.8131,7952000,17402000,"CH->CL"
"CN->CL",1,7.3563,19700.7875,1347350000,17402000,"CN->CL"
"CO->CL",0,4.5238,4528.3281,47015000,17402000,"CO->CL"
"DE->CL",0,5.7066,12190.3378,80500000,17402000,"DE->CL"
"DK->CL",0,7.4303,12486.2858,5580000,17402000,"DK->CL"
"EC->CL",0,4.1228,3536.5279,14483000,17402000,"EC->CL"
"ES->CL",0,3.6467,10426.6628,46185000,17402000,"ES->CL"
"FI->CL",0,7.6965,13479.7447,5408000,17402000,"FI->CL"
"FJ->CL",0,5.969,10828.1042,861000,17402000,"FJ->CL"
"FR->CL",0,6.2394,11465.7783,65350000,17402000,"FR->CL"
"GB->CL",0,5.617,11598.593,62262000,17402000,"GB->CL"
"GF->CL",0,6.2825,4615.1252,224000,17402000,"GF->CL"
"GR->CL",0,7.8731,12671.4181,10787000,17402000,"GR->CL"
"HK->CL",0,7.179,18767.121,7103000,17402000,"HK->CL"
"ID->CL",0,9.1475,15991.2601,237641000,17402000,"ID->CL"
"IN->CL",0,8.7637,16831.3847,1210570000,17402000,"IN->CL"
"IS->CL",0,5.6422,11556.8545,320000,17402000,"IS->CL"
"IT->CL",0,6.1204,11898.6982,59464000,17402000,"IT->CL"
"JP->CL",0,5.6429,17526.2634,127300000,17402000,"JP->CL"
"KH->CL",0,10.3117,17732.2869,13396000,17402000,"KH->CL"
"KR->CL",0,6.5111,18240.4683,48580000,17402000,"KR->CL"
"LA->CL",0,10.2037,18273.9846,6256000,17402000,"LA->CL"
"LK->CL",0,9.6839,15904.0359,20653000,17402000,"LK->CL"
"LV->CL",0,8.4228,13296.1944,2070000,17402000,"LV->CL"
"MD->CL",0,9.2159,13309.5781,3560000,17402000,"MD->CL"
"MM->CL",0,10.1456,18139.0494,47963000,17402000,"MM->CL"
"MY->CL",0,8.9993,16877.8461,30017000,17402000,"MY->CL"
"NL->CL",0,6.305,11944.9269,16838000,17402000,"NL->CL"
"NO->CL",0,7.3552,12826.7689,5009000,17402000,"NO->CL"
"NP->CL",0,10.7651,17703.591,26621000,17402000,"NP->CL"
"NZ->CL",0,4.5825,9473.712,4434000,17402000,"NZ->CL"
"PE->CL",0,2.5805,2559.8416,30135000,17402000,"PE->CL"
"PH->CL",0,7.1419,17156.8661,92340000,17402000,"PH->CL"
"PT->CL",0,5.6871,9693.9298,10487000,17402000,"PT->CL"
"PY->CL",0,3.3205,1561.3134,6382000,17402000,"PY->CL"
"RO->CL",0,7.7459,12917.2402,19043000,17402000,"RO->CL"
"RS->CL",0,8.6688,12579.0766,7120000,17402000,"RS->CL"
"SE->CL",0,7.5127,12985.2209,9490000,17402000,"SE->CL"
"SG->CL",0,8.1029,16505.3918,5184000,17402000,"SG->CL"
"TH->CL",0,8.5776,17715.4897,65500000,17402000,"TH->CL"
"TW->CL",0,6.5723,18517.1736,23293593,17402000,"TW->CL"
"UA->CL",0,8.2378,13568.0604,45426000,17402000,"UA->CL"
"US->CL",3,3.1845,8264.7967,3.17e+08,17402000,"US->CL"
"UY->CL",0,3.0538,1470.6222,3251000,17402000,"UY->CL"
"VE->CL",0,5.4512,4778.1619,27150000,17402000,"VE->CL"
"VN->CL",0,8.9048,18087.8934,87840000,17402000,"VN->CL"
"AL->CN",0,7.3049,7929.1824,2832000,1347350000,"AL->CN"
"AR->CN",1,7.3304,19226.1274,40117000,1347350000,"AR->CN"
"AT->CN",0,5.3193,8020.8062,8451860,1347350000,"AT->CN"
"AU->CN",4,4.2433,7390.8749,22902000,1347350000,"AU->CN"
"BD->CN",1,5.2583,2205.8247,142319000,1347350000,"BD->CN"
"BG->CN",0,6.618,7372.9317,7284000,1347350000,"BG->CN"
"BO->CN",0,7.1472,18410.9061,10624000,1347350000,"BO->CN"
"BR->CN",1,6.6689,17280.5106,192400000,1347350000,"BR->CN"
"BY->CN",0,6.1536,6853.8925,9460000,1347350000,"BY->CN"
"CA->CN",1,4.6317,10624.4639,3.5e+07,1347350000,"CA->CN"
"CH->CN",0,6.8101,8477.0724,7952000,1347350000,"CH->CN"
"CL->CN",0,7.3563,19700.7875,17402000,1347350000,"CL->CN"
"CO->CN",0,6.2682,15570.4337,47015000,1347350000,"CO->CN"
"DE->CN",0,4.2255,8117.1701,80500000,1347350000,"DE->CN"
"DK->CN",0,5.0868,7808.6641,5580000,1347350000,"DK->CN"
"EC->CN",0,6.3435,16510.5873,14483000,1347350000,"EC->CN"
"ES->CN",0,6.2854,9891.7657,46185000,1347350000,"ES->CN"
"FI->CN",0,4.3162,6802.4591,5408000,1347350000,"FI->CN"
"FJ->CN",0,6.0984,8873.615,861000,1347350000,"FJ->CN"
"FR->CN",0,4.4565,8847.9009,65350000,1347350000,"FR->CN"
"GB->CN",1,5.227,8693.0354,62262000,1347350000,"GB->CN"
"GF->CN",0,6.1454,15651.2933,224000,1347350000,"GF->CN"
"GR->CN",0,6.392,7665.4826,10787000,1347350000,"GR->CN"
"HK->CN",14,1.8724,1042.5784,7103000,1347350000,"HK->CN"
"ID->CN",0,4.4512,3874.9176,237641000,1347350000,"ID->CN"
"IN->CN",1,5.4491,3441.478,1210570000,1347350000,"IN->CN"
"IS->CN",0,6.6294,8679.1695,320000,1347350000,"IS->CN"
"IT->CN",0,5.6422,8426.6649,59464000,1347350000,"IT->CN"
"JP->CN",5,2.1391,2250.2689,127300000,1347350000,"JP->CN"
"KH->CN",0,3.935,2256.0108,13396000,1347350000,"KH->CN"
"KR->CN",1,2.0209,1542.5836,48580000,1347350000,"KR->CN"
"LA->CN",0,3.4682,1776.8067,6256000,1347350000,"LA->CN"
"LK->CN",0,6.1153,4287.5099,20653000,1347350000,"LK->CN"
"LV->CN",0,7.0683,7005.1558,2070000,1347350000,"LV->CN"
"MD->CN",0,6.6685,7017.3619,3560000,1347350000,"MD->CN"
"MM->CN",0,4.3932,2030.2066,47963000,1347350000,"MM->CN"
"MY->CN",1,3.3282,3042.5048,30017000,1347350000,"MY->CN"
"NL->CN",0,4.9038,8357.255,16838000,1347350000,"NL->CN"
"NO->CN",0,7.2042,7447.2651,5009000,1347350000,"NO->CN"
"NP->CN",3,4.6461,2599.4974,26621000,1347350000,"NP->CN"
"NZ->CN",0,5.5934,10256.5456,4434000,1347350000,"NZ->CN"
"PE->CN",0,6.4312,17513.391,30135000,1347350000,"PE->CN"
"PH->CN",0,3.9928,2606.3482,92340000,1347350000,"PH->CN"
"PT->CN",0,7.1262,10611.423,10487000,1347350000,"PT->CN"
"PY->CN",0,8.5131,18777.094,6382000,1347350000,"PY->CN"
"RO->CN",0,7.2289,7410.32,19043000,1347350000,"RO->CN"
"RS->CN",0,7.1877,7749.4803,7120000,1347350000,"RS->CN"
"SE->CN",0,6.2733,7303.1475,9490000,1347350000,"SE->CN"
"SG->CN",1,2.9515,3456.2374,5184000,1347350000,"SG->CN"
"TH->CN",0,3.1441,2331.9076,65500000,1347350000,"TH->CN"
"TW->CN",1,3.5591,1198.0145,23293593,1347350000,"TW->CN"
"UA->CN",0,5.9913,6758.0377,45426000,1347350000,"UA->CN"
"US->CN",3,4.1717,11767.1552,3.17e+08,1347350000,"US->CN"
"UY->CN",0,8.7159,18793.621,3251000,1347350000,"UY->CN"
"VE->CN",0,6.4383,15392.2462,27150000,1347350000,"VE->CN"
"VN->CN",1,3.6989,1858.29,87840000,1347350000,"VN->CN"
"AL->CO",0,7.6487,9858.2893,2832000,47015000,"AL->CO"
"AR->CO",0,4.4274,5242.2667,40117000,47015000,"AR->CO"
"AT->CO",0,7.1585,9334.2483,8451860,47015000,"AT->CO"
"AU->CO",2,5.6071,15406.305,22902000,47015000,"AU->CO"
"BD->CO",0,9.1397,16231.3745,142319000,47015000,"BD->CO"
"BG->CO",0,7.5977,10354.7859,7284000,47015000,"BG->CO"
"BO->CO",0,4.6941,2979.5771,10624000,47015000,"BO->CO"
"BR->CO",0,4.2524,4142.5392,192400000,47015000,"BR->CO"
"BY->CO",0,8.0376,10171.2071,9460000,47015000,"BY->CO"
"CA->CO",0,3.447,4985.7462,3.5e+07,47015000,"CA->CO"
"CH->CO",0,6.0466,8857.4757,7952000,47015000,"CH->CO"
"CL->CO",0,4.5238,4528.3281,17402000,47015000,"CL->CO"
"CN->CO",0,6.2682,15570.4337,1347350000,47015000,"CN->CO"
"DE->CO",0,5.2495,8991.6321,80500000,47015000,"DE->CO"
"DK->CO",0,6.3999,9020.452,5580000,47015000,"DK->CO"
"EC->CO",0,2.2686,1142.9594,14483000,47015000,"EC->CO"
"ES->CO",0,3.3969,7767.9493,46185000,47015000,"ES->CO"
"FI->CO",0,7.2045,9732.0271,5408000,47015000,"FI->CO"
"FJ->CO",0,4.8809,12082.0145,861000,47015000,"FJ->CO"
"FR->CO",0,4.6021,8510.4113,65350000,47015000,"FR->CO"
"GB->CO",0,4.644,8179.3961,62262000,47015000,"GB->CO"
"GF->CO",0,6.291,2572.0327,224000,47015000,"GF->CO"
"GR->CO",0,6.9792,10384.5456,10787000,47015000,"GR->CO"
"HK->CO",1,6.091,16514.1657,7103000,47015000,"HK->CO"
"ID->CO",0,8.0595,18879.5156,237641000,47015000,"ID->CO"
"IN->CO",0,7.6756,15830.065,1210570000,47015000,"IN->CO"
"IS->CO",0,4.5541,7488.2326,320000,47015000,"IS->CO"
"IT->CO",0,5.986,9214.4031,59464000,47015000,"IT->CO"
"JP->CO",0,4.5549,14164.9705,127300000,47015000,"JP->CO"
"KH->CO",0,9.2236,17756.9508,13396000,47015000,"KH->CO"
"KR->CO",0,5.423,14595.1162,48580000,47015000,"KR->CO"
"LA->CO",0,9.1157,17136.9941,6256000,47015000,"LA->CO"
"LK->CO",0,8.7109,16812.0696,20653000,47015000,"LK->CO"
"LV->CO",0,7.4498,9842.2598,2070000,47015000,"LV->CO"
"MD->CO",0,8.8348,10443.0445,3560000,47015000,"MD->CO"
"MM->CO",0,9.0575,16761.6936,47963000,47015000,"MM->CO"
"MY->CO",0,8.5606,18599.5581,30017000,47015000,"MY->CO"
