"","Transitions","Pig_farms_distances","Transition_Rates","Key"
"Xinxiang->Linyi1",0,457.399,0.0394609040089993,"Xinxiang->Linyi1"
"Suzhou->Linyi1",0,206.257,0.0394609040089993,"Suzhou->Linyi1"
"Linyi2->Linyi1",1,33.23,0.0394609040089993,"Linyi2->Linyi1"
"Nanning->Linyi1",0,1670.382,0.0394609040089993,"Nanning->Linyi1"
"Suqian->Linyi1",0,143.653,0.0394609040089993,"Suqian->Linyi1"
"Chuzhou->Linyi1",0,346.363,0.0394609040089993,"Chuzhou->Linyi1"
"Guangzhou->Suzhou",0,1251.659,0.0394609040089993,"Guangzhou->Suzhou"
"Sanmenxia->Suzhou",0,539.474,0.0394609040089993,"Sanmenxia->Suzhou"
"Luohe->Suzhou",0,279.412,0.0394609040089993,"Luohe->Suzhou"
"Xinxiang->Suzhou",0,319.654,0.0394609040089993,"Xinxiang->Suzhou"
"Linyi1->Suzhou",0,206.257,0.0394609040089993,"Linyi1->Suzhou"
"Linyi2->Suzhou",0,177.708,0.0394609040089993,"Linyi2->Suzhou"
"Nanning->Suzhou",0,1480.635,0.0394609040089993,"Nanning->Suzhou"
"Suqian->Suzhou",0,126.506,0.0394609040089993,"Suqian->Suzhou"
"Chuzhou->Suzhou",1,262.77,0.0394609040089993,"Chuzhou->Suzhou"
"Guangzhou->Linyi2",0,1384.497,0.0394609040089993,"Guangzhou->Linyi2"
"Sanmenxia->Linyi2",0,691.349,0.0394609040089993,"Sanmenxia->Linyi2"
"Luohe->Linyi2",0,450.07,0.0394609040089993,"Luohe->Linyi2"
"Xinxiang->Linyi2",0,444.864,0.0394609040089993,"Xinxiang->Linyi2"
"Linyi1->Linyi2",0,33.23,0.0394609040089993,"Linyi1->Linyi2"
"Suzhou->Linyi2",0,177.708,0.0394609040089993,"Suzhou->Linyi2"
"Nanning->Linyi2",0,1637.38,0.0394609040089993,"Nanning->Linyi2"
"Suqian->Linyi2",0,110.945,0.0394609040089993,"Suqian->Linyi2"
"Chuzhou->Linyi2",1,315.527,0.0394609040089993,"Chuzhou->Linyi2"
"Guangzhou->Nanning",0,412.001,0.0394609040089993,"Guangzhou->Nanning"
"Sanmenxia->Nanning",0,1348.028,0.0394609040089993,"Sanmenxia->Nanning"
"Luohe->Nanning",0,1319.595,0.0394609040089993,"Luohe->Nanning"
"Xinxiang->Nanning",0,1488.16,0.0394609040089993,"Xinxiang->Nanning"
